x_mm,y_mm
106.7581,106.4524
107.9172,106.0498
109.0767,105.6374
110.2364,105.2151
111.3962,104.783
112.5562,104.3409
113.7162,103.8889
114.8761,103.4269
116.0358,102.9549
117.1953,102.4729
118.3545,101.9808
119.5133,101.4787
120.6716,100.9665
121.8293,100.4442
122.9864,99.9118
124.1428,99.3693
125.2984,98.8165
126.453,98.2536
127.6067,97.6805
128.7593,97.0971
129.9108,96.5035
131.061,95.8997
132.2099,95.2856
133.3574,94.6612
134.5034,94.0265
135.6478,93.3816
136.7906,92.7262
137.9315,92.0606
139.0707,91.3846
140.2079,90.6983
141.3431,90.0016
142.4762,89.2946
143.607,88.5771
144.7356,87.8493
145.8618,87.1111
146.9856,86.3625
148.1068,85.6035
149.2253,84.8342
150.3411,84.0544
151.4541,83.2642
152.5641,82.4636
153.6712,81.6526
154.7751,80.8312
155.8759,79.9994
156.9734,79.1572
158.0675,78.3046
159.1581,77.4416
160.2437,76.5695
47.1552,24.8162
47.613,23.926
48.0541,23.0273
48.4782,22.1205
48.8852,21.2058
49.275,20.2837
49.6473,19.3545
50.0022,18.4184
50.3393,17.4758
50.6588,16.527
50.9603,15.5724
51.2439,14.6123
51.5093,13.6471
51.7566,12.677
51.9856,11.7025
52.1963,10.7238
52.3885,9.7413
52.5623,8.7554
52.7175,7.7665
52.8541,6.7747
52.972,5.7806
53.0713,4.7844
53.1518,3.7866
53.2136,2.7874
53.2565,1.7872
53.2807,0.7864
53.2861,-0.2146
53.2727,-1.2156
53.2404,-2.2162
53.1894,-3.216
53.1196,-4.2146
53.031,-5.2118
52.9238,-6.2071
52.7978,-7.2003
52.6532,-8.1909
52.4901,-9.1786
52.3084,-10.163
52.1082,-11.1439
51.8897,-12.1209
51.6528,-13.0935
51.3977,-14.0616
51.1245,-15.0246
50.8332,-15.9824
50.524,-16.9346
50.1969,-17.8807
49.8522,-18.8206
49.4898,-19.7538
49.11,-20.68
48.7128,-21.599
48.2985,-22.5103
47.8671,-23.4136
47.4188,-24.3087
46.9537,-25.1953
46.4721,-26.0729
45.9741,-26.9413
45.4599,-27.8002
44.9296,-28.6494
44.3834,-29.4883
43.8216,-30.3169
43.2444,-31.1348
42.6518,-31.9417
42.0443,-32.7373
41.4218,-33.5214
40.7848,-34.2937
40.1333,-35.0538
39.4677,-35.8016
38.7882,-36.5367
38.095,-37.2589
37.3883,-37.968
36.6684,-38.6637
35.9356,-39.3457
35.1901,-40.0139
34.4322,-40.6679
33.6621,-41.3076
32.8802,-41.9326
32.0866,-42.5429
31.2818,-43.1382
30.4658,-43.7183
29.6392,-44.2829
28.802,-44.8319
27.9547,-45.365
27.0976,-45.8822
26.2308,-46.3831
25.3548,-46.8677
24.4699,-47.3358
23.5763,-47.7871
22.6744,-48.2216
21.7645,-48.6391
20.847,-49.0393
19.922,-49.4223
18.9901,-49.7879
18.0514,-50.1358
17.1063,-50.4661
16.1553,-50.7785
15.1985,-51.0731
14.2363,-51.3496
13.2692,-51.608
13.0803237374229,-51.6561539536115
12.6015840428429,-51.7750418807542
12.1217865791922,-51.8895890024933
11.6409906079503,-51.9998790853977
11.1592512811936,-52.105993520322
10.6766197909041,-52.2080112525461
10.1931435182789,-52.3060087165185
9.70886618293407,-52.4000597751683
9.22382799189875,-52.4902356637506
8.73806578829348,-52.576604938186
8.25161319959201,-52.6592334278545
7.76450078536433,-52.738184192802
7.27675618440095,-52.8135174853136
6.78840426112002,-52.8852907158096
6.29946725116001,-52.9535584230142
5.80996490606204,-53.0183722483484
5.31991463694786,-53.0797809144945
4.82933165710042,-53.137830208079
4.33822912335602,-53.1925629664187
3.8466182762183,-53.2440190682727
3.35450857860596,-53.2922354285418
2.86190785314794,-53.3372459968544
2.36882241794114,-53.3790817599782
1.87525722068771,-53.4177707479924
1.38121597113043,-53.4533380441564
0.886701271706771,-53.4858057984083
0.391714746343434,-53.5151932444249
-0.103742832684421,-53.5415167201732
-0.599671419903538,-53.5647896918834
-1.09607157387531,-53.5850227813703
-1.59294433658086,-53.6022237966303
-2.09029111502789,-53.6163977656381
-2.5881135651454,-53.6275469732678
-3.08641347803164,-53.6356710012607
