t_s,ch,tap,banco_uv,pp_uv,real_mv_vs_vref,clavado
228.0,3,SUMo,1102361.0,1067.5,2008.7,False
228.0,4,LPo,732898.0,209.0,-5349.4,True
240.0,0,PGAgain,953445.0,12702.5,-957.0,False
240.0,1,BPo,989723.0,10747.5,-234.5,False
240.0,2,OPA_SUMo,1102857.0,1048.5,2018.6,False
240.0,3,SUMo,1102275.0,1325.0,2007.0,False
240.0,4,LPo,732936.5,142.5,-5348.6,True
252.0,0,PGAgain,953559.5,11853.5,-954.8,False
252.0,1,BPo,989799.0,8582.5,-233.0,False
252.0,2,OPA_SUMo,1102723.5,1029.5,2015.9,False
252.0,3,SUMo,1102170.5,1277.5,2004.9,False
252.0,4,LPo,732946.0,219.0,-5348.4,True
264.0,0,PGAgain,953473.5,10051.0,-956.5,False
264.0,1,BPo,990085.0,11043.0,-227.3,False
264.0,2,OPA_SUMo,1102676.0,1401.5,2015.0,False
264.0,3,SUMo,1102132.5,1106.0,2004.2,False
264.0,4,LPo,732936.0,237.5,-5348.6,True
276.0,0,PGAgain,953664.5,11224.5,-952.7,False
276.0,1,BPo,989827.5,7848.0,-232.5,False
276.0,2,OPA_SUMo,1102609.0,943.5,2013.7,False
276.0,3,SUMo,1102065.5,1258.5,2002.8,False
276.0,4,LPo,732888.5,133.0,-5349.6,True
288.0,0,PGAgain,953435.5,11529.5,-957.2,False
288.0,1,BPo,989865.5,7352.5,-231.7,False
288.0,2,OPA_SUMo,1102676.0,1020.0,2015.0,False
288.0,3,SUMo,1102170.5,905.5,2004.9,False
288.0,4,LPo,732965.0,142.5,-5348.1,True
300.0,0,PGAgain,953111.0,10919.0,-963.7,False
300.0,1,BPo,990037.5,8868.5,-228.3,False
300.0,2,OPA_SUMo,1102599.5,1144.0,2013.5,False
300.0,3,SUMo,1102037.0,905.5,2002.3,False
300.0,4,LPo,732946.0,199.5,-5348.4,True
312.0,0,PGAgain,953645.5,9059.5,-953.1,False
312.0,1,BPo,990257.0,8391.5,-223.9,False
312.0,2,OPA_SUMo,1102571.0,1058.5,2012.9,False
312.0,3,SUMo,1102056.0,705.5,2002.6,False
312.0,4,LPo,732869.5,190.0,-5350.0,True
324.0,0,PGAgain,953683.5,10280.0,-952.3,False
324.0,1,BPo,990142.5,6656.5,-226.2,False
324.0,2,OPA_SUMo,1102609.0,696.0,2013.7,False
324.0,3,SUMo,1102104.0,1000.5,2003.6,False
324.0,4,LPo,732955.5,209.5,-5348.3,True
336.0,0,PGAgain,953502.5,9517.0,-955.9,False
336.0,1,BPo,990552.5,9183.0,-218.0,False
336.0,2,OPA_SUMo,1102494.5,905.5,2011.4,False
336.0,3,SUMo,1102142.0,839.0,2004.4,False
336.0,4,LPo,732926.5,228.5,-5348.8,True
348.0,0,PGAgain,953549.5,9603.0,-955.0,False
348.0,1,BPo,990466.5,8554.0,-219.7,False
348.0,2,OPA_SUMo,1102599.5,829.5,2013.5,False
348.0,3,SUMo,1101894.0,896.0,1999.4,False
348.0,4,LPo,732917.0,228.5,-5349.0,True
360.0,0,PGAgain,953712.0,8268.0,-951.7,False
360.0,1,BPo,990104.5,10013.0,-226.9,False
360.0,2,OPA_SUMo,1102390.0,772.0,2009.3,False
360.0,3,SUMo,1102027.5,991.5,2002.1,False
360.0,4,LPo,732936.0,199.5,-5348.6,True
372.0,0,PGAgain,953807.0,8792.5,-949.8,False
372.0,1,BPo,990323.5,9956.0,-222.6,False
372.0,2,OPA_SUMo,1102513.5,1077.0,2011.8,False
372.0,3,SUMo,1101989.5,800.5,2001.3,False
372.0,4,LPo,732926.5,218.5,-5348.8,True
384.0,0,PGAgain,953616.5,9202.5,-953.6,False
384.0,1,BPo,989751.5,9078.5,-234.0,False
384.0,2,OPA_SUMo,1102447.0,1000.5,2010.4,False
384.0,3,SUMo,1101980.0,1077.0,2001.1,False
384.0,4,LPo,732965.0,171.0,-5348.1,True
396.0,0,PGAgain,953769.0,9774.5,-950.6,False
396.0,1,BPo,990886.0,10652.0,-211.4,False
396.0,2,OPA_SUMo,1102466.0,1115.0,2010.8,False
396.0,3,SUMo,1101941.5,953.0,2000.4,False
396.0,4,LPo,732955.5,171.0,-5348.3,True
408.0,0,PGAgain,953673.5,9803.5,-952.5,False
408.0,1,BPo,990447.5,8897.5,-220.1,False
408.0,2,OPA_SUMo,1102380.0,1029.5,2009.1,False
408.0,3,SUMo,1101922.5,944.0,2000.0,False
408.0,4,LPo,732965.0,228.5,-5348.1,True
420.0,0,PGAgain,953865.0,9889.5,-948.7,False
420.0,1,BPo,990581.0,8096.5,-217.5,False
420.0,2,OPA_SUMo,1102428.0,1401.0,2010.1,False
420.0,3,SUMo,1101827.5,877.0,1998.1,False
420.0,4,LPo,732926.5,161.5,-5348.8,True
432.0,0,PGAgain,953807.5,8344.0,-949.8,False
432.0,1,BPo,990161.5,9155.0,-225.8,False
432.0,2,OPA_SUMo,1102371.0,1058.0,2008.9,False
432.0,3,SUMo,1101894.0,810.5,1999.4,False
432.0,4,LPo,732965.0,199.5,-5348.1,True
444.0,0,PGAgain,953969.5,7094.5,-946.6,False
444.0,1,BPo,990743.0,8706.5,-214.2,False
444.0,2,OPA_SUMo,1102475.5,886.5,2011.0,False
444.0,4,LPo,732984.0,180.5,-5347.7,True
456.0,0,PGAgain,953864.5,11539.0,-948.7,False
456.0,1,BPo,990447.5,8220.5,-220.1,False
456.0,2,OPA_SUMo,1104268.5,1125.0,2046.7,False
456.0,3,SUMo,1103715.5,982.0,2035.7,False
456.0,4,LPo,732994.0,190.0,-5347.5,True
468.0,0,PGAgain,953750.0,8706.5,-951.0,False
468.0,1,BPo,989846.5,11081.0,-232.1,False
468.0,2,OPA_SUMo,1103572.5,1163.0,2032.8,False
468.0,3,SUMo,1103153.0,1086.5,2024.5,False
468.0,4,LPo,732974.5,180.5,-5347.9,True
480.0,0,PGAgain,953797.5,4758.5,-950.0,False
480.0,1,BPo,990457.0,3938.0,-219.9,False
480.0,2,OPA_SUMo,1103152.5,800.5,2024.5,False
480.0,3,SUMo,1102695.0,1211.0,2015.4,False
480.0,4,LPo,732888.5,180.5,-5349.6,True
492.0,0,PGAgain,953521.5,5464.0,-955.5,False
492.0,1,BPo,989989.5,4434.0,-229.2,False
492.0,2,OPA_SUMo,1102952.5,848.0,2020.5,False
492.0,3,SUMo,1102351.5,876.5,2008.5,False
492.0,4,LPo,732994.0,133.0,-5347.5,True
504.0,0,PGAgain,953626.5,5016.0,-953.4,False
504.0,1,BPo,990161.5,4720.0,-225.8,False
504.0,2,OPA_SUMo,1102838.0,801.0,2018.2,False
504.0,3,SUMo,1102218.0,676.5,2005.9,False
504.0,4,LPo,732917.0,180.5,-5349.0,True
516.0,0,PGAgain,953330.5,5197.0,-959.3,False
516.0,1,BPo,990037.5,4529.0,-228.3,False
516.0,2,OPA_SUMo,1102676.0,877.0,2015.0,False
516.0,3,SUMo,1102084.5,943.5,2003.2,False
516.0,4,LPo,732955.5,142.5,-5348.3,True
528.0,0,PGAgain,953464.0,7734.0,-956.7,False
528.0,1,BPo,990571.5,4062.5,-217.6,False
528.0,2,OPA_SUMo,1102609.0,867.5,2013.7,False
528.0,3,SUMo,1102122.5,781.5,2004.0,False
528.0,4,LPo,732898.0,161.5,-5349.4,True
540.0,0,PGAgain,953445.0,4605.5,-957.0,False
540.0,1,BPo,990943.5,4510.5,-210.2,False
540.0,2,OPA_SUMo,1102561.5,953.5,2012.7,False
540.0,4,LPo,732946.0,142.5,-5348.4,True
552.0,0,PGAgain,953511.5,4348.5,-955.7,False
552.0,1,BPo,989551.0,3470.5,-238.0,False
552.0,2,OPA_SUMo,1104469.0,543.5,2050.7,False
552.0,3,SUMo,1103915.5,553.0,2039.7,False
552.0,4,LPo,732994.0,161.5,-5347.5,True
564.0,0,PGAgain,953244.5,4825.5,-961.0,False
564.0,1,BPo,989808.5,4243.5,-232.8,False
564.0,2,OPA_SUMo,1103629.5,896.0,2034.0,False
564.0,3,SUMo,1103219.5,858.0,2025.8,False
564.0,4,LPo,732888.5,171.0,-5349.6,True
576.0,0,PGAgain,953187.5,4958.5,-962.2,False
576.0,1,BPo,989837.0,4300.5,-232.3,False
576.0,2,OPA_SUMo,1103334.0,667.0,2028.1,False
576.0,3,SUMo,1102790.5,695.5,2017.3,False
588.0,0,PGAgain,953473.5,4348.0,-956.5,False
588.0,1,BPo,989322.0,4033.5,-242.5,False
588.0,2,OPA_SUMo,1104898.0,896.0,2059.2,False
588.0,3,SUMo,1104354.5,772.0,2048.4,False
588.0,4,LPo,732965.0,180.5,-5348.1,True
600.0,0,PGAgain,953349.5,4911.0,-959.0,False
600.0,1,BPo,989894.5,4148.0,-231.1,False
600.0,2,OPA_SUMo,1104020.5,762.5,2041.8,False
600.0,3,SUMo,1103524.5,820.0,2031.9,False
600.0,4,LPo,732965.0,171.0,-5348.1,True
612.0,0,PGAgain,952939.5,5826.5,-967.1,False
612.0,1,BPo,989713.0,5264.0,-234.7,False
612.0,2,OPA_SUMo,1103448.5,714.5,2030.4,False
612.0,3,SUMo,1102933.5,781.5,2020.1,False
612.0,4,LPo,732898.0,142.5,-5349.4,True
624.0,0,PGAgain,952978.0,5244.5,-966.3,False
624.0,1,BPo,989618.0,5387.5,-236.6,False
624.0,2,OPA_SUMo,1103134.0,858.0,2024.1,False
624.0,3,SUMo,1102657.0,800.5,2014.6,False
624.0,4,LPo,732917.0,218.5,-5349.0,True
636.0,0,PGAgain,953121.0,4911.0,-963.5,False
636.0,1,BPo,990104.5,4768.0,-226.9,False
636.0,3,SUMo,1103868.0,1029.5,2038.7,False
636.0,4,LPo,732850.5,171.0,-5350.3,True
648.0,0,PGAgain,953139.5,9135.5,-963.1,False
648.0,1,BPo,989894.0,10461.5,-231.1,False
648.0,2,OPA_SUMo,1104202.0,1392.0,2045.4,False
648.0,3,SUMo,1103648.5,1439.5,2034.4,False
648.0,4,LPo,732869.5,180.5,-5350.0,True
660.0,0,PGAgain,952377.0,13627.5,-978.3,False
660.0,1,BPo,989589.5,10289.5,-237.2,False
660.0,2,OPA_SUMo,1103601.0,1124.5,2033.4,False
660.0,3,SUMo,1103114.5,1086.5,2023.7,False
660.0,4,LPo,732841.0,199.5,-5350.5,True
672.0,0,PGAgain,953082.5,13656.0,-964.3,False
672.0,1,BPo,989379.5,8983.0,-241.4,False
672.0,2,OPA_SUMo,1103219.5,1192.0,2025.8,False
672.0,4,LPo,732793.5,199.5,-5351.5,True
684.0,0,PGAgain,953053.5,13494.0,-964.8,False
684.0,1,BPo,989484.0,11119.5,-239.3,False
684.0,2,OPA_SUMo,1104955.0,924.5,2060.4,False
684.0,3,SUMo,1104373.5,839.0,2048.8,False
684.0,4,LPo,732812.5,190.0,-5351.1,True
696.0,0,PGAgain,953035.0,11138.5,-965.2,False
696.0,1,BPo,989350.5,7867.5,-242.0,False
696.0,2,OPA_SUMo,1104154.0,1020.0,2044.4,False
696.0,3,SUMo,1103705.5,1087.0,2035.5,False
696.0,4,LPo,732917.0,152.0,-5349.0,True
708.0,0,PGAgain,952758.5,12626.5,-970.7,False
708.0,1,BPo,989818.0,10023.0,-232.7,False
