t_s,etapa,medido_real_mv,valido,error_mv,idac1,idac2,paso_fino,paso_grueso,motivo
1407.0,busca0,1719.5,True,-3319.5,16,-63,-63,0,
1412.7,busca0,975.7,True,-2575.7,16,-112,-49,0,
1418.4,busca0,393.4,True,-1993.4,16,-150,-38,0,
1424.1,busca0,-97.8,True,-1502.2,16,-160,-10,0,fino en su limite (±160)
1429.7,busca0,-423.7,True,-1176.3,16,-160,0,0,fino en su limite (±160)
1435.4,busca0,-1050.9,True,-549.1,16,-160,0,0,fino en su limite (±160)
1441.0,busca0,-2719.6,False,,16,-160,0,0,lectura fuera de rango; no se integra
1446.7,busca0,-4272.1,False,,16,-160,0,0,lectura fuera de rango; no se integra
1452.3,busca0,-5177.7,False,,16,-160,0,0,"fuera de rango 3 veces; se repliega a (-160, +16)"
1458.0,busca0,-5182.2,False,,16,-160,0,0,lectura fuera de rango; no se integra
1463.6,busca0,-5182.2,False,,16,-160,0,0,lectura fuera de rango; no se integra
1469.3,busca0,-5181.9,False,,16,-160,0,0,"fuera de rango 3 veces; se repliega a (-160, +16)"
1474.9,busca0,-5182.2,False,,16,-160,0,0,lectura fuera de rango; no se integra
1480.6,busca0,-5181.5,False,,16,-160,0,0,lectura fuera de rango; no se integra
1486.2,busca0,-5182.6,False,,16,-160,0,0,"fuera de rango 3 veces; se repliega a (-160, +16)"
1491.9,busca0,-5181.1,False,,16,-160,0,0,lectura fuera de rango; no se integra
1497.5,busca0,-5182.6,False,,16,-160,0,0,lectura fuera de rango; no se integra
1503.2,busca0,-5182.2,False,,16,-160,0,0,"fuera de rango 3 veces; se repliega a (-160, +16)"
1508.8,busca0,-5181.9,False,,16,-160,0,0,lectura fuera de rango; no se integra
1514.5,busca0,-5182.2,False,,16,-160,0,0,lectura fuera de rango; no se integra
1520.1,busca0,-5182.2,False,,16,-160,0,0,"fuera de rango 3 veces; se repliega a (-160, +16)"
1521.5,busca1,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1527.1,busca1,-5183.0,False,,16,0,0,0,lectura fuera de rango; no se integra
1532.8,busca1,-5181.9,False,,16,0,0,0,lectura fuera de rango; no se integra
1538.4,busca1,-5182.2,False,,16,0,0,0,lectura fuera de rango; no se integra
1544.1,busca1,-5181.5,False,,16,0,0,0,lectura fuera de rango; no se integra
