t_s,pasada,idac0,idac1,idac2,fase,posicion,asentamiento_incompleto,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
230.345,1,19,-255,128,malla,,False,4,LPo,732154.0,190.0,True,False,True,-5364.214132200001
232.549,1,19,-255,255,malla,,False,0,PGAgain,1001682.0,7953.0,True,True,False,3.624657400000326
233.195,1,19,-255,255,malla,,False,1,BPo,960178.0,19416.0,True,True,False,-822.9565554000001
233.842,1,19,-255,255,malla,,False,2,OPA_SUMo,1078510.0,1525.0,True,True,False,1533.7080569999998
234.492,1,19,-255,255,malla,,False,3,SUMo,1077785.0,1010.0,True,True,False,1519.2691745000018
235.14,1,19,-255,255,malla,,False,4,LPo,732097.0,267.0,True,False,True,-5365.349327100001
237.342,1,19,-255,-72,abba,A1,False,0,PGAgain,1001243.0,12607.0,True,True,False,-5.118334899998968
237.987,1,19,-255,-72,abba,A1,False,1,BPo,962467.0,14095.0,True,True,False,-777.3695181000004
238.635,1,19,-255,-72,abba,A1,False,2,OPA_SUMo,994014.0,1411.0,True,True,False,-149.08893019999982
239.281,1,19,-255,-72,abba,A1,False,3,SUMo,993785.0,1468.0,True,True,False,-153.64962550000064
239.927,1,19,-255,-72,abba,A1,False,4,LPo,732154.0,190.0,True,False,True,-5364.214132200001
242.133,1,19,-255,-56,abba,B1,False,0,PGAgain,1000499.0,10833.0,True,True,False,-19.93561569999953
242.785,1,19,-255,-56,abba,B1,False,1,BPo,962715.0,15048.0,True,True,False,-772.4304244999994
243.436,1,19,-255,-56,abba,B1,False,2,OPA_SUMo,997562.0,1354.0,True,True,False,-78.42802659999977
244.089,1,19,-255,-56,abba,B1,False,3,SUMo,997276.0,1163.0,True,True,False,-84.12391680000093
244.742,1,19,-255,-56,abba,B1,False,4,LPo,732135.0,228.0,True,False,True,-5364.5925305
246.948,1,19,-255,-56,abba,B2,False,0,PGAgain,1000537.0,11863.0,True,True,False,-19.178819099999313
247.6,1,19,-255,-56,abba,B2,False,1,BPo,962696.0,17623.0,True,True,False,-772.8088227999995
248.251,1,19,-255,-56,abba,B2,False,2,OPA_SUMo,997104.0,1277.0,True,True,False,-87.54941719999917
252.323,1,19,-255,-56,abba,B2,False,3,SUMo,997219.0,1449.0,True,True,False,-85.259111699999
253.587,1,19,-255,-56,abba,B2,False,4,LPo,732154.0,267.0,True,False,True,-5364.214132200001
255.793,1,19,-255,-72,abba,A2,False,0,PGAgain,1000747.0,10128.0,True,True,False,-14.996522100000853
256.441,1,19,-255,-72,abba,A2,False,1,BPo,961875.0,13504.0,True,True,False,-789.1596125000001
257.093,1,19,-255,-72,abba,A2,False,2,OPA_SUMo,992870.0,1068.0,True,True,False,-171.8724909999999
257.742,1,19,-255,-72,abba,A2,False,3,SUMo,992679.0,1735.0,True,True,False,-175.67638970000053
258.387,1,19,-255,-72,abba,A2,False,4,LPo,732135.0,247.0,True,False,True,-5364.5925305
260.585,1,19,-255,-68,abba,A1,False,0,PGAgain,1000671.0,9555.0,True,True,False,-16.510115299999022
261.23,1,19,-255,-68,abba,A1,False,1,BPo,962047.0,11196.0,True,True,False,-785.7341120999995
261.88,1,19,-255,-68,abba,A1,False,2,OPA_SUMo,993404.0,1487.0,True,True,False,-161.23750720000007
262.531,1,19,-255,-68,abba,A1,False,3,SUMo,993251.0,1239.0,True,True,False,-164.28460930000048
263.182,1,19,-255,-68,abba,A1,False,4,LPo,732135.0,190.0,True,False,True,-5364.5925305
265.387,1,19,-255,-60,abba,B1,False,0,PGAgain,1000957.0,13694.0,True,True,False,-10.814225100000128
266.028,1,19,-255,-60,abba,B1,False,1,BPo,962600.0,12283.0,True,True,False,-774.7207299999995
266.68,1,19,-255,-60,abba,B1,False,2,OPA_SUMo,995235.0,1163.0,True,True,False,-124.77186049999973
267.331,1,19,-255,-60,abba,B1,False,3,SUMo,995006.0,1506.0,True,True,False,-129.33255580000056
271.454,1,19,-255,-60,abba,B1,False,4,LPo,732135.0,209.0,True,False,True,-5364.5925305
274.264,1,19,-255,-60,abba,B2,False,0,PGAgain,1000671.0,7953.0,True,True,False,-16.510115299999022
274.913,1,19,-255,-60,abba,B2,False,1,BPo,963420.0,15640.0,True,True,False,-758.3898560000008
275.563,1,19,-255,-60,abba,B2,False,2,OPA_SUMo,993747.0,934.0,True,True,False,-154.40642210000087
276.215,1,19,-255,-60,abba,B2,False,3,SUMo,993537.0,1602.0,True,True,False,-158.5887190999993
276.866,1,19,-255,-60,abba,B2,False,4,LPo,732154.0,286.0,True,False,True,-5364.214132200001
279.069,1,19,-255,-68,abba,A2,False,0,PGAgain,1000576.0,8087.0,True,True,False,-18.402106799999565
279.718,1,19,-255,-68,abba,A2,False,1,BPo,963344.0,17833.0,True,True,False,-759.903449199999
280.37,1,19,-255,-68,abba,A2,False,2,OPA_SUMo,991516.0,1468.0,True,True,False,-198.83834880000074
281.02,1,19,-255,-68,abba,A2,False,3,SUMo,991363.0,839.0,True,True,False,-201.8854508999989
281.669,1,19,-255,-68,abba,A2,False,4,LPo,732116.0,247.0,True,False,True,-5364.9709288
283.872,1,19,-255,-66,abba,A1,False,0,PGAgain,1000556.0,11367.0,True,True,False,-18.800420799999205
284.524,1,19,-255,-66,abba,A1,False,1,BPo,963497.0,8335.0,True,True,False,-756.8563471000009
285.171,1,19,-255,-66,abba,A1,False,2,OPA_SUMo,991973.0,1373.0,True,True,False,-189.7368739000009
285.821,1,19,-255,-66,abba,A1,False,3,SUMo,991706.0,1487.0,True,True,False,-195.05436579999966
286.471,1,19,-255,-66,abba,A1,False,4,LPo,732173.0,171.0,True,False,True,-5363.8357339
292.088,1,19,-255,-62,abba,B1,False,0,PGAgain,1000614.0,15716.0,True,True,False,-17.645310199999347
293.352,1,19,-255,-62,abba,B1,False,1,BPo,962924.0,16345.0,True,True,False,-768.2680432000004
294.004,1,19,-255,-62,abba,B1,False,2,OPA_SUMo,992183.0,1373.0,True,True,False,-185.55457690000014
294.654,1,19,-255,-62,abba,B1,False,3,SUMo,991897.0,1163.0,True,True,False,-191.25046709999904
295.305,1,19,-255,-62,abba,B1,False,4,LPo,732173.0,247.0,True,False,True,-5363.8357339
297.51,1,19,-255,-62,abba,B2,False,0,PGAgain,1001033.0,10547.0,True,True,False,-9.300631899999692
298.163,1,19,-255,-62,abba,B2,False,1,BPo,962886.0,9689.0,True,True,False,-769.0248398000007
302.289,1,19,-255,-62,abba,B2,False,2,OPA_SUMo,992870.0,1296.0,True,True,False,-171.8724909999999
303.549,1,19,-255,-62,abba,B2,False,3,SUMo,992813.0,1449.0,True,True,False,-173.00768590000024
304.201,1,19,-255,-62,abba,B2,False,4,LPo,732154.0,190.0,True,False,True,-5364.214132200001
306.406,1,19,-255,-66,abba,A2,False,0,PGAgain,1000995.0,11196.0,True,True,False,-10.05742849999991
307.053,1,19,-255,-66,abba,A2,False,1,BPo,962963.0,17986.0,True,True,False,-767.4913309000008
307.702,1,19,-255,-66,abba,A2,False,2,OPA_SUMo,991878.0,1087.0,True,True,False,-191.62886539999917
308.352,1,19,-255,-66,abba,A2,False,3,SUMo,991592.0,972.0,True,True,False,-197.32475560000032
312.519,1,19,-255,-66,abba,A2,False,4,LPo,732116.0,228.0,True,False,True,-5364.9709288
377.875,1,19,-192,0,referencia,,False,0,PGAgain,1000804.0,9269.0,True,True,False,-13.861327200000526
378.525,1,19,-192,0,referencia,,False,1,BPo,968856.0,16765.0,True,True,False,-650.1281108000002
379.176,1,19,-192,0,referencia,,False,2,OPA_SUMo,988502.0,1201.0,True,True,False,-258.86426860000097
379.827,1,19,-192,0,referencia,,False,3,SUMo,988311.0,1449.0,True,True,False,-262.6681672999993
380.458,1,19,-192,0,referencia,,False,4,LPo,732173.0,171.0,True,False,True,-5363.8357339
382.66,1,19,-192,-255,malla,,False,0,PGAgain,1000003.0,10147.0,True,True,False,-29.81380289999915
386.832,1,19,-192,-255,malla,,False,1,BPo,969161.0,9517.0,True,True,False,-644.0538223000011
388.078,1,19,-192,-255,malla,,False,2,OPA_SUMo,887928.0,3471.0,True,True,False,-2261.8658804
388.726,1,19,-192,-255,malla,,False,3,SUMo,887641.0,2651.0,True,True,False,-2267.581686300001
