elapsed_s,phase,stage,code,channel,tap,bank_mv,real_v,error_real_mv,pp_real_mv,valid
3.021,base,0,0,0,PGAgain,951.309,1.4124846513000011,-999.5888987000006,63.8099028,True
3.021,base,0,0,1,BPo,985.069,2.0848386833000006,-327.2348667000008,58.870809200000004,True
3.021,base,0,0,2,OPA_SUMo,921.325,0.8153323025000027,-1596.7412474999992,26.965857800000002,True
3.021,base,0,0,3,SUMo,922.203,0.8328182870999989,-1579.2552629000006,26.965857800000002,True
3.021,base,0,0,4,LPo,1106.91,4.511387487000004,2099.3139370000017,2.6487881000000004,True
8.036,base,0,0,0,PGAgain,951.156,1.4094375492,-1002.636000800001,69.88419130000001,True
8.036,base,0,0,1,BPo,984.725,2.077987682500003,-334.08586749999955,73.30969170000002,True
8.036,base,0,0,2,OPA_SUMo,919.704,0.7830489527999999,-1629.0245972000012,29.614645900000003,True
8.036,base,0,0,3,SUMo,920.81,0.8050757169999997,-1606.9978330000013,27.722654400000003,True
8.036,base,0,0,4,LPo,1106.91,4.511387487000004,2099.3139370000017,1.5135932,True
