t_s,bloque,idac2,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido
568.2,0,-140,0,PGAgain,870914,13923,-2600.7,False
568.8,0,-140,1,BPo,977611,3967,-475.8,True
569.5,0,-140,2,OPA_SUMo,1096076,114,1883.5,True
570.1,0,-140,3,SUMo,1094684,114,1855.8,True
570.8,0,-140,4,LPo,721473,152,-5576.9,False
581.4,0,-140,0,PGAgain,871391,12321,-2591.2,False
582.1,0,-140,1,BPo,977973,3585,-468.6,True
582.7,0,-140,2,OPA_SUMo,1096115,95,1884.3,True
583.4,0,-140,3,SUMo,1094703,114,1856.2,True
587.0,0,-140,4,LPo,721530,114,-5575.8,False
597.6,0,-140,0,PGAgain,871391,13198,-2591.2,False
598.3,0,-140,1,BPo,978507,5016,-457.9,True
598.9,0,-140,2,OPA_SUMo,1096096,95,1883.9,True
599.6,0,-140,3,SUMo,1094684,114,1855.8,True
600.2,0,-140,4,LPo,721473,152,-5576.9,False
610.9,0,-140,0,PGAgain,871353,12645,-2592.0,False
611.6,0,-140,1,BPo,978240,4043,-463.2,True
612.2,0,-140,2,OPA_SUMo,1096096,114,1883.9,True
612.9,0,-140,3,SUMo,1094703,114,1856.2,True
613.5,0,-140,4,LPo,721492,152,-5576.6,False
624.2,0,-140,0,PGAgain,870800,13084,-2603.0,False
624.8,0,-140,1,BPo,978507,4234,-457.9,True
625.5,0,-140,2,OPA_SUMo,1096076,152,1883.5,True
626.1,0,-140,3,SUMo,1094722,133,1856.6,True
626.8,0,-140,4,LPo,721416,114,-5578.1,False
637.4,0,-140,0,PGAgain,872230,13084,-2574.5,False
638.1,0,-140,1,BPo,978260,3604,-462.8,True
638.7,0,-140,2,OPA_SUMo,1096076,133,1883.5,True
639.4,0,-140,3,SUMo,1094684,114,1855.8,True
640.0,0,-140,4,LPo,721454,152,-5577.3,False
650.7,0,-140,0,PGAgain,871353,13408,-2592.0,False
651.3,0,-140,1,BPo,978240,4405,-463.2,True
652.0,0,-140,2,OPA_SUMo,1096115,114,1884.3,True
652.6,0,-140,3,SUMo,1094684,114,1855.8,True
653.3,0,-140,4,LPo,721492,171,-5576.6,False
663.9,0,-140,0,PGAgain,870876,13008,-2601.5,False
664.6,0,-140,1,BPo,977935,4673,-469.3,True
665.2,0,-140,2,OPA_SUMo,1096096,114,1883.9,True
665.9,0,-140,3,SUMo,1094684,114,1855.8,True
666.5,0,-140,4,LPo,721473,171,-5576.9,False
677.2,0,-140,0,PGAgain,871295,11711,-2593.1,False
677.8,0,-140,1,BPo,978698,3318,-454.1,True
678.5,0,-140,2,OPA_SUMo,1096115,114,1884.3,True
679.1,0,-140,3,SUMo,1094741,114,1857.0,True
679.8,0,-140,4,LPo,721416,133,-5578.1,False
690.4,0,-140,0,PGAgain,872383,11539,-2571.5,False
691.1,0,-140,1,BPo,978336,3261,-461.3,True
691.7,0,-140,2,OPA_SUMo,1096076,95,1883.5,True
692.4,0,-140,3,SUMo,1094684,76,1855.8,True
693.0,0,-140,4,LPo,721454,114,-5577.3,False
793.7,1,-180,0,PGAgain,871467,11806,-2589.7,False
794.4,1,-180,1,BPo,978527,3890,-457.5,True
796.5,1,-180,2,OPA_SUMo,1095934,648,1880.7,True
799.1,1,-180,3,SUMo,1094684,95,1855.8,True
800.0,1,-180,4,LPo,721492,247,-5576.6,False
810.6,1,-180,0,PGAgain,871257,11157,-2593.9,False
811.3,1,-180,1,BPo,978393,3261,-460.2,True
811.9,1,-180,2,OPA_SUMo,1096076,133,1883.5,True
812.6,1,-180,3,SUMo,1094684,95,1855.8,True
813.2,1,-180,4,LPo,721359,209,-5579.2,False
823.9,1,-180,0,PGAgain,870819,13504,-2602.6,False
824.5,1,-180,1,BPo,978069,3757,-466.6,True
825.2,1,-180,2,OPA_SUMo,1096019,419,1882.4,True
825.8,1,-180,3,SUMo,1094722,114,1856.6,True
826.5,1,-180,4,LPo,721473,114,-5576.9,False
837.1,1,-180,0,PGAgain,871753,11692,-2584.0,False
837.8,1,-180,1,BPo,978507,3452,-457.9,True
838.4,1,-180,2,OPA_SUMo,1096076,133,1883.5,True
839.1,1,-180,3,SUMo,1094722,95,1856.6,True
839.7,1,-180,4,LPo,721530,133,-5575.8,False
850.4,1,-180,0,PGAgain,872325,11539,-2572.6,False
851.0,1,-180,1,BPo,978584,3414,-456.4,True
851.7,1,-180,2,OPA_SUMo,1096115,133,1884.3,True
852.3,1,-180,3,SUMo,1094741,114,1857.0,True
853.0,1,-180,4,LPo,721492,152,-5576.6,False
863.6,1,-180,0,PGAgain,871982,12702,-2579.4,False
865.8,1,-180,1,BPo,977859,3214,-470.8,True
868.3,1,-180,2,OPA_SUMo,1096096,171,1883.9,True
869.2,1,-180,3,SUMo,1094722,133,1856.6,True
869.9,1,-180,4,LPo,721435,209,-5577.7,False
880.5,1,-180,0,PGAgain,871200,12855,-2595.0,False
881.2,1,-180,1,BPo,977344,3929,-481.1,True
881.8,1,-180,2,OPA_SUMo,1096057,152,1883.2,True
882.5,1,-180,3,SUMo,1094684,152,1855.8,True
883.1,1,-180,4,LPo,721530,152,-5575.8,False
893.8,1,-180,0,PGAgain,870819,13198,-2602.6,False
894.4,1,-180,1,BPo,977821,4310,-471.6,True
895.1,1,-180,2,OPA_SUMo,1096057,267,1883.2,True
895.7,1,-180,3,SUMo,1094722,114,1856.6,True
899.3,1,-180,4,LPo,721530,190,-5575.8,False
910.0,1,-180,0,PGAgain,871543,12435,-2588.2,False
910.6,1,-180,1,BPo,978813,3643,-451.8,True
911.3,1,-180,2,OPA_SUMo,1096038,305,1882.8,True
911.9,1,-180,3,SUMo,1094741,95,1857.0,True
912.6,1,-180,4,LPo,721454,133,-5577.3,False
923.2,1,-180,0,PGAgain,872364,11539,-2571.8,False
923.9,1,-180,1,BPo,978603,4062,-456.0,True
924.5,1,-180,2,OPA_SUMo,1096076,190,1883.5,True
925.2,1,-180,3,SUMo,1094703,114,1856.2,True
925.8,1,-180,4,LPo,721435,247,-5577.7,False
936.5,1,-180,0,PGAgain,871543,11043,-2588.2,False
937.1,1,-180,1,BPo,978336,4253,-461.3,True
937.8,1,-180,2,OPA_SUMo,1096096,190,1883.9,True
938.4,1,-180,3,SUMo,1094703,95,1856.2,True
939.1,1,-180,4,LPo,721454,171,-5577.3,False
949.7,1,-180,0,PGAgain,870189,12302,-2615.2,False
953.5,1,-180,1,BPo,978336,3795,-461.3,True
954.7,1,-180,2,OPA_SUMo,1095962,553,1881.3,True
955.4,1,-180,3,SUMo,1094722,95,1856.6,True
956.0,1,-180,4,LPo,721435,133,-5577.7,False
966.7,1,-180,0,PGAgain,870361,11291,-2611.7,False
970.3,1,-180,1,BPo,977687,4730,-474.3,True
971.7,1,-180,2,OPA_SUMo,1096057,324,1883.2,True
972.4,1,-180,3,SUMo,1094722,114,1856.6,True
973.0,1,-180,4,LPo,721492,209,-5576.6,False
983.7,1,-180,0,PGAgain,870609,12378,-2606.8,False
985.8,1,-180,1,BPo,977401,3346,-479.9,True
988.3,1,-180,2,OPA_SUMo,1096086,142,1883.7,True
989.3,1,-180,3,SUMo,1094665,95,1855.4,True
989.9,1,-180,4,LPo,721435,190,-5577.7,False
1000.6,1,-180,0,PGAgain,871257,12512,-2593.9,False
1001.2,1,-180,1,BPo,978088,3738,-466.3,True
1005.0,1,-180,2,OPA_SUMo,1096076,114,1883.5,True
1006.2,1,-180,3,SUMo,1094684,114,1855.8,True
1006.9,1,-180,4,LPo,721416,171,-5578.1,False
1017.5,1,-180,0,PGAgain,870494,13351,-2609.1,False
1018.2,1,-180,1,BPo,978126,4749,-465.5,True
1018.8,1,-180,2,OPA_SUMo,1096076,190,1883.5,True
1019.5,1,-180,3,SUMo,1094703,133,1856.2,True
1020.1,1,-180,4,LPo,721454,133,-5577.3,False
1030.8,1,-180,0,PGAgain,870952,11444,-2600.0,False
1031.4,1,-180,1,BPo,977821,3662,-471.6,True
1032.1,1,-180,2,OPA_SUMo,1096076,171,1883.5,True
1032.7,1,-180,3,SUMo,1094703,95,1856.2,True
1033.4,1,-180,4,LPo,721454,133,-5577.3,False
1044.0,1,-180,0,PGAgain,872344,12607,-2572.2,False
1044.7,1,-180,1,BPo,978584,3643,-456.4,True
1045.3,1,-180,2,OPA_SUMo,1096057,152,1883.2,True
1046.0,1,-180,3,SUMo,1094703,114,1856.2,True
1046.6,1,-180,4,LPo,721473,171,-5576.9,False
1057.3,1,-180,0,PGAgain,871009,12531,-2598.8,False
1057.9,1,-180,1,BPo,978240,3566,-463.2,True
1058.6,1,-180,2,OPA_SUMo,1096038,228,1882.8,True
1059.2,1,-180,3,SUMo,1094703,95,1856.2,True
1059.9,1,-180,4,LPo,721492,190,-5576.6,False
1070.5,1,-180,0,PGAgain,871295,11024,-2593.1,False
1071.2,1,-180,1,BPo,977802,4291,-472.0,True
1071.8,1,-180,2,OPA_SUMo,1096076,152,1883.5,True
1072.5,1,-180,3,SUMo,1094703,114,1856.2,True
1073.1,1,-180,4,LPo,721454,152,-5577.3,False
1083.8,1,-180,0,PGAgain,870666,11310,-2605.7,False
1084.4,1,-180,1,BPo,978221,3623,-463.6,True
1085.1,1,-180,2,OPA_SUMo,1095962,438,1881.3,True
1085.7,1,-180,3,SUMo,1094684,95,1855.8,True
1086.4,1,-180,4,LPo,721435,152,-5577.7,False
1097.0,1,-180,0,PGAgain,872364,10585,-2571.8,False
1097.7,1,-180,1,BPo,978336,3643,-461.3,True
1098.3,1,-180,2,OPA_SUMo,1096038,171,1882.8,True
1099.0,1,-180,3,SUMo,1094684,95,1855.8,True
1099.6,1,-180,4,LPo,721473,152,-5576.9,False
1110.3,1,-180,0,PGAgain,871257,12702,-2593.9,False
1110.9,1,-180,1,BPo,978183,4291,-464.4,True
1111.6,1,-180,2,OPA_SUMo,1096076,171,1883.5,True
1112.2,1,-180,3,SUMo,1094703,114,1856.2,True
1112.9,1,-180,4,LPo,721454,171,-5577.3,False
1123.5,1,-180,0,PGAgain,870456,14114,-2609.8,False
1124.2,1,-180,1,BPo,978012,4425,-467.8,True
1124.8,1,-180,2,OPA_SUMo,1096057,228,1883.2,True
1125.5,1,-180,3,SUMo,1094703,133,1856.2,True
1126.1,1,-180,4,LPo,721454,171,-5577.3,False
1136.8,1,-180,0,PGAgain,872192,12989,-2575.3,False
1140.5,1,-180,1,BPo,978355,3128,-460.9,True
1141.8,1,-180,2,OPA_SUMo,1096076,152,1883.5,True
1142.4,1,-180,3,SUMo,1094703,95,1856.2,True
1143.1,1,-180,4,LPo,721454,171,-5577.3,False
1153.7,1,-180,0,PGAgain,871410,13141,-2590.8,False
1154.4,1,-180,1,BPo,978164,3852,-464.8,True
1155.0,1,-180,2,OPA_SUMo,1096000,457,1882.0,True
1155.7,1,-180,3,SUMo,1094684,133,1855.8,True
1156.3,1,-180,4,LPo,721435,133,-5577.7,False
1167.0,1,-180,0,PGAgain,871772,12168,-2583.6,False
1167.7,1,-180,1,BPo,978298,4615,-462.1,True
1168.3,1,-180,2,OPA_SUMo,1096096,152,1883.9,True
1170.4,1,-180,3,SUMo,1094712,114,1856.4,True
1173.0,1,-180,4,LPo,721464,171,-5577.1,False
1183.6,1,-180,0,PGAgain,870628,12645,-2606.4,False
