t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
102.10,reposo,4,0,0,0,0,0,PGAgain,877952,18787,-2460.5,False,False
102.75,reposo,4,0,0,0,0,1,BPo,981464,11882,-399.0,True,False
103.39,reposo,4,0,0,0,0,2,OPA_SUMo,1096382,114,1889.6,True,True
104.04,reposo,4,0,0,0,0,3,SUMo,1094989,114,1861.9,True,True
104.69,reposo,4,0,0,0,0,4,LPo,721492,228,-5576.6,False,True
125.26,punto_armado,4,0,0,0,0,0,PGAgain,878791,19359,-2443.8,False,False
125.90,punto_armado,4,0,0,0,0,1,BPo,980167,9365,-424.9,True,False
126.55,punto_armado,4,0,0,0,0,2,OPA_SUMo,1096401,152,1890.0,True,True
127.20,punto_armado,4,0,0,0,0,3,SUMo,1095008,114,1862.3,True,True
127.83,punto_armado,4,0,0,0,0,4,LPo,721492,190,-5576.6,False,True
128.48,vigilancia,4,0,0,0,0,0,PGAgain,878562,19626,-2448.4,False,False
132.20,vigilancia,4,0,0,0,0,1,BPo,980205,6847,-424.1,True,False
133.48,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096382,133,1889.6,True,True
134.13,vigilancia,4,0,0,0,0,3,SUMo,1095027,114,1862.7,True,True
134.76,vigilancia,4,0,0,0,0,4,LPo,721530,152,-5575.8,False,True
138.41,vigilancia,4,0,0,0,0,0,PGAgain,878524,24795,-2449.2,False,False
139.06,vigilancia,4,0,0,0,0,1,BPo,979366,12073,-440.8,True,False
139.71,vigilancia,4,0,0,0,0,2,OPA_SUMo,1096420,114,1890.4,True,True
140.36,vigilancia,4,0,0,0,0,3,SUMo,1095008,133,1862.3,True,True
141.01,vigilancia,4,0,0,0,0,4,LPo,721549,171,-5575.4,False,True
144.65,vigilancia,4,0,0,0,0,0,PGAgain,878715,19588,-2445.3,False,False
145.30,vigilancia,4,0,0,0,0,1,BPo,978851,10833,-451.1,True,False
