timestamp,elapsed_s,pga,pgaout,idac0,idac1,idac2,idac3,channel,mean_uv,error_uv,pp_uv
2026-09-08T18:57:20.015,21.635,50,2,0,0,-255,0,0,986728,-13272,10299
2026-09-08T18:57:20.601,22.221,50,2,0,0,-255,0,1,1002712,2712,10948
2026-09-08T18:57:21.188,22.808,50,2,0,0,-255,0,2,1049137,49137,534
2026-09-08T18:57:21.770,23.39,50,2,0,0,-255,0,3,1096687,96687,1716
2026-09-08T18:57:22.353,23.973,50,2,0,0,-255,0,4,743293,-256707,152
2026-09-08T18:57:24.939,26.559,50,2,0,0,-255,0,0,986423,-13577,12226
2026-09-08T18:57:25.523,27.143,50,2,0,0,-255,0,1,1002578,2578,12168
2026-09-08T18:57:30.019,31.639,50,2,0,0,-255,0,2,1051940,51940,1125
2026-09-08T18:57:32.702,34.322,50,2,0,0,-255,0,3,1102638,102638,1564
2026-09-08T18:57:33.286,34.906,50,2,0,0,-255,0,4,743236,-256764,190
2026-09-08T18:57:36.924,38.544,50,2,0,0,0,0,0,986518,-13482,13790
2026-09-08T18:57:37.510,39.13,50,2,0,0,0,0,1,1001796,1796,6351
2026-09-08T18:57:38.094,39.714,50,2,0,0,0,0,2,1052036,52036,762
2026-09-08T18:57:38.676,40.296,50,2,0,0,0,0,3,1100101,100101,2117
2026-09-08T18:57:39.259,40.879,50,2,0,0,0,0,4,743350,-256650,152
2026-09-08T18:57:41.844,43.464,50,2,0,0,0,0,0,986785,-13215,9822
2026-09-08T18:57:42.433,44.053,50,2,0,0,0,0,1,1002082,2082,11882
2026-09-08T18:57:43.019,44.639,50,2,0,0,0,0,2,1052055,52055,1392
2026-09-08T18:57:43.601,45.221,50,2,0,0,0,0,3,1100120,100120,2288
2026-09-08T18:57:44.183,45.803,50,2,0,0,0,0,4,743389,-256611,152
2026-09-08T18:57:47.820,49.44,50,2,0,0,255,0,0,986251,-13749,11844
2026-09-08T18:57:48.404,50.024,50,2,0,0,255,0,1,1001586,1586,14572
2026-09-08T18:57:48.987,50.607,50,2,0,0,255,0,2,1051959,51959,1163
2026-09-08T18:57:49.572,51.192,50,2,0,0,255,0,3,1097507,97507,2193
2026-09-08T18:57:50.157,51.777,50,2,0,0,255,0,4,743293,-256707,133
2026-09-08T18:57:52.741,54.361,50,2,0,0,255,0,0,986576,-13424,8678
2026-09-08T18:57:53.323,54.943,50,2,0,0,255,0,1,1001739,1739,6313
2026-09-08T18:57:53.906,55.526,50,2,0,0,255,0,2,1051826,51826,591
2026-09-08T18:57:54.490,56.11,50,2,0,0,255,0,3,1097412,97412,1869
2026-09-08T18:57:55.075,56.695,50,2,0,0,255,0,4,743274,-256726,152
