t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
102.19,reposo,1,0,0,0,0,0,PGAgain,953140,4482,-963.1,True,False
102.84,reposo,1,0,0,0,0,1,BPo,990085,3967,-227.3,True,False
103.50,reposo,1,0,0,0,0,2,OPA_SUMo,1099815,724,1958.0,True,False
104.15,reposo,1,0,0,0,0,3,SUMo,1099491,705,1951.6,True,False
104.78,reposo,1,0,0,0,0,4,LPo,732250,171,-5362.3,False,True
107.48,punto_armado,1,0,0,0,0,0,PGAgain,952892,4043,-968.1,True,False
108.14,punto_armado,1,0,0,0,0,1,BPo,989627,3757,-236.5,True,False
108.79,punto_armado,1,0,0,0,0,2,OPA_SUMo,1100940,648,1980.4,True,False
109.44,punto_armado,1,0,0,0,0,3,SUMo,1100578,801,1973.2,True,False
113.06,punto_armado,1,0,0,0,0,4,LPo,732269,152,-5361.9,False,True
114.49,vigilancia,1,0,0,0,0,0,PGAgain,953083,3719,-964.3,True,False
115.14,vigilancia,1,0,0,0,0,1,BPo,989322,3604,-242.5,True,False
115.79,vigilancia,1,0,0,0,0,2,OPA_SUMo,1101837,553,1998.3,True,False
116.44,vigilancia,1,0,0,0,0,3,SUMo,1101531,476,1992.2,True,False
117.09,vigilancia,1,0,0,0,0,4,LPo,732192,171,-5363.5,False,True
120.74,vigilancia,1,0,0,0,0,0,PGAgain,953254,3776,-960.9,True,False
121.39,vigilancia,1,0,0,0,0,1,BPo,989189,2613,-245.2,True,False
122.04,vigilancia,1,0,0,0,0,2,OPA_SUMo,1102657,534,2014.6,True,False
122.69,vigilancia,1,0,0,0,0,3,SUMo,1102237,553,2006.2,True,False
123.34,vigilancia,1,0,0,0,0,4,LPo,732212,114,-5363.1,False,True
126.99,vigilancia,1,0,0,0,0,0,PGAgain,952720,4882,-971.5,True,False
127.64,vigilancia,1,0,0,0,0,1,BPo,989055,2841,-247.9,True,False
128.29,vigilancia,1,0,0,0,0,2,OPA_SUMo,1103267,591,2026.8,True,False
128.94,vigilancia,1,0,0,0,0,3,SUMo,1102828,610,2018.0,True,False
129.59,vigilancia,1,0,0,0,0,4,LPo,732212,152,-5363.1,False,True
