timestamp,elapsed_s,pga,pgaout,idac0,idac1,idac2,idac3,channel,mean_uv,error_uv,pp_uv
2026-09-08T18:53:28.650,26.834,50,2,0,0,-48,0,0,984992,-15008,4749
2026-09-08T18:53:29.239,27.424,50,2,0,0,-48,0,1,1000862,862,4844
2026-09-08T18:53:29.826,28.011,50,2,0,0,-48,0,2,1047592,47592,648
2026-09-08T18:53:30.410,28.594,50,2,0,0,-48,0,3,1093254,93254,1335
2026-09-08T18:53:30.994,29.179,50,2,0,0,-48,0,4,742759,-257241,152
2026-09-08T18:53:33.578,31.763,50,2,0,0,-48,0,0,985240,-14760,3051
2026-09-08T18:53:34.164,32.348,50,2,0,0,-48,0,1,1000537,537,4291
2026-09-08T18:53:34.751,32.935,50,2,0,0,-48,0,2,1048049,48049,534
2026-09-08T18:53:35.336,33.52,50,2,0,0,-48,0,3,1094131,94131,991
2026-09-08T18:53:35.937,34.121,50,2,0,0,-48,0,4,742702,-257298,209
2026-09-08T18:53:39.575,37.76,50,2,0,0,0,0,0,985240,-14760,2822
2026-09-08T18:53:40.161,38.345,50,2,0,0,0,0,1,999050,-950,4653
2026-09-08T18:53:40.746,38.931,50,2,0,0,0,0,2,1048259,48259,553
2026-09-08T18:53:41.329,39.514,50,2,0,0,0,0,3,1094074,94074,1182
2026-09-08T18:53:41.913,40.098,50,2,0,0,0,0,4,742683,-257317,133
2026-09-08T18:53:48.407,46.591,50,2,0,0,0,0,0,985755,-14245,4272
2026-09-08T18:53:51.094,49.278,50,2,0,0,0,0,1,1000900,900,5474
2026-09-08T18:53:51.678,49.862,50,2,0,0,0,0,2,1048660,48660,686
2026-09-08T18:53:52.264,50.448,50,2,0,0,0,0,3,1094799,94799,1773
2026-09-08T18:53:52.846,51.031,50,2,0,0,0,0,4,742664,-257336,114
2026-09-08T18:53:56.486,54.67,50,2,0,0,48,0,0,985374,-14626,3604
2026-09-08T18:53:57.072,55.256,50,2,0,0,48,0,1,1000576,576,5359
2026-09-08T18:53:57.657,55.841,50,2,0,0,48,0,2,1048774,48774,514
2026-09-08T18:53:58.240,56.425,50,2,0,0,48,0,3,1094608,94608,610
2026-09-08T18:53:58.823,57.007,50,2,0,0,48,0,4,742645,-257355,95
2026-09-08T18:54:01.410,59.595,50,2,0,0,48,0,0,985641,-14359,3509
2026-09-08T18:54:01.994,60.179,50,2,0,0,48,0,1,1000633,633,4291
2026-09-08T18:54:02.577,60.762,50,2,0,0,48,0,2,1048984,48984,534
2026-09-08T18:54:03.160,61.344,50,2,0,0,48,0,3,1095008,95008,934
2026-09-08T18:54:03.765,61.95,50,2,0,0,48,0,4,742683,-257317,152
