t_s,bloque,idac2,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido
273.6,0,-120,0,PGAgain,869044,13065,-2637.9,False
276.2,0,-120,1,BPo,978679,3166,-454.5,True
277.1,0,-120,2,OPA_SUMo,1096153,95,1885.1,True
277.7,0,-120,3,SUMo,1094760,95,1857.3,True
278.4,0,-120,4,LPo,721397,152,-5578.4,False
289.0,0,-120,0,PGAgain,870285,13713,-2613.2,False
289.7,0,-120,1,BPo,979213,4024,-443.9,True
290.3,0,-120,2,OPA_SUMo,1096134,114,1884.7,True
291.0,0,-120,3,SUMo,1094760,114,1857.3,True
291.6,0,-120,4,LPo,721435,171,-5577.7,False
302.3,0,-120,0,PGAgain,872344,13942,-2572.2,False
302.9,0,-120,1,BPo,979633,3452,-435.5,True
303.6,0,-120,2,OPA_SUMo,1096191,95,1885.8,True
304.2,0,-120,3,SUMo,1094779,95,1857.7,True
304.9,0,-120,4,LPo,721473,190,-5576.9,False
315.5,0,-120,0,PGAgain,871582,12950,-2587.4,False
316.2,0,-120,1,BPo,978908,4711,-449.9,True
316.8,0,-120,2,OPA_SUMo,1096153,114,1885.1,True
317.5,0,-120,3,SUMo,1094741,133,1857.0,True
318.1,0,-120,4,LPo,721454,152,-5577.3,False
328.8,0,-120,0,PGAgain,871028,13847,-2598.4,False
329.4,0,-120,1,BPo,978527,4253,-457.5,True
330.1,0,-120,2,OPA_SUMo,1096134,95,1884.7,True
330.7,0,-120,3,SUMo,1094760,133,1857.3,True
331.4,0,-120,4,LPo,721454,152,-5577.3,False
342.0,0,-120,0,PGAgain,871410,12607,-2590.8,False
342.7,0,-120,1,BPo,979003,4158,-448.0,True
343.3,0,-120,2,OPA_SUMo,1096191,95,1885.8,True
344.0,0,-120,3,SUMo,1094760,114,1857.3,True
344.6,0,-120,4,LPo,721435,171,-5577.7,False
355.3,0,-120,0,PGAgain,872097,11692,-2577.2,False
358.9,0,-120,1,BPo,978412,4806,-459.8,True
360.3,0,-120,2,OPA_SUMo,1096172,76,1885.5,True
361.0,0,-120,3,SUMo,1094760,133,1857.3,True
361.6,0,-120,4,LPo,721492,171,-5576.6,False
372.3,0,-120,0,PGAgain,870876,12207,-2601.5,False
372.9,0,-120,1,BPo,978336,3242,-461.3,True
373.6,0,-120,2,OPA_SUMo,1096134,114,1884.7,True
374.2,0,-120,3,SUMo,1094741,133,1857.0,True
374.9,0,-120,4,LPo,721454,152,-5577.3,False
385.5,0,-120,0,PGAgain,871086,13275,-2597.3,False
386.2,0,-120,1,BPo,978374,3185,-460.6,True
386.8,0,-120,2,OPA_SUMo,1096153,95,1885.1,True
387.5,0,-120,3,SUMo,1094741,114,1857.0,True
388.1,0,-120,4,LPo,721473,114,-5576.9,False
398.8,0,-120,0,PGAgain,871257,12359,-2593.9,False
399.4,0,-120,1,BPo,977783,2632,-472.3,True
400.1,0,-120,2,OPA_SUMo,1096153,114,1885.1,True
400.7,0,-120,3,SUMo,1094760,133,1857.3,True
401.4,0,-120,4,LPo,721511,133,-5576.2,False
412.0,0,-120,0,PGAgain,869979,13618,-2619.3,False
412.7,0,-120,1,BPo,978755,3261,-453.0,True
413.3,0,-120,2,OPA_SUMo,1096134,114,1884.7,True
414.0,0,-120,3,SUMo,1094779,114,1857.7,True
414.6,0,-120,4,LPo,721473,209,-5576.9,False
425.3,0,-120,0,PGAgain,872135,12798,-2576.4,False
425.9,0,-120,1,BPo,978202,3280,-464.0,True
426.6,0,-120,2,OPA_SUMo,1096153,133,1885.1,True
427.2,0,-120,3,SUMo,1094760,114,1857.3,True
427.9,0,-120,4,LPo,721473,152,-5576.9,False
438.5,0,-120,0,PGAgain,870590,11978,-2607.2,False
440.7,0,-120,1,BPo,978928,3872,-449.5,True
443.2,0,-120,2,OPA_SUMo,1096182,114,1885.6,True
444.1,0,-120,3,SUMo,1094760,152,1857.3,True
444.8,0,-120,4,LPo,721435,171,-5577.7,False
