t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
102.21,reposo,4,11,-53,0,0,0,PGAgain,974960,10738,-528.6,True,False
102.86,reposo,4,11,-53,0,0,1,BPo,983467,3719,-359.1,True,False
103.51,reposo,4,11,-53,0,0,2,OPA_SUMo,1018486,858,338.3,True,False
104.16,reposo,4,11,-53,0,0,3,SUMo,1018371,896,336.0,True,False
104.81,reposo,4,11,-53,0,0,4,LPo,731792,152,-5371.4,False,True
110.48,punto_armado,4,11,-53,-247,0,0,PGAgain,974559,11768,-536.5,True,False
111.91,punto_armado,4,11,-53,-247,0,1,BPo,984191,4825,-344.7,True,False
112.56,punto_armado,4,11,-53,-247,0,2,OPA_SUMo,742530,1811,-5157.6,False,False
113.22,punto_armado,4,11,-53,-247,0,3,SUMo,743331,1716,-5141.6,False,False
113.87,punto_armado,4,11,-53,-247,0,4,LPo,731754,152,-5372.2,False,True
114.51,vigilancia,4,11,-53,-247,0,0,PGAgain,973834,10929,-551.0,True,False
115.16,vigilancia,4,11,-53,-247,0,1,BPo,983600,3700,-356.5,True,False
115.82,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,743618,1754,-5135.9,False,False
117.95,vigilancia,4,11,-53,-247,0,3,SUMo,744486,2088,-5118.6,False,False
120.48,vigilancia,4,11,-53,-247,0,4,LPo,731830,200,-5370.7,False,True
131.13,vigilancia,4,11,-53,-247,0,0,PGAgain,974102,10967,-545.7,True,False
131.78,vigilancia,4,11,-53,-247,0,1,BPo,984249,3376,-343.6,True,False
132.43,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742721,2002,-5153.8,False,False
133.08,vigilancia,4,11,-53,-247,0,3,SUMo,743656,1697,-5135.1,False,False
136.70,vigilancia,4,11,-53,-247,0,4,LPo,731639,114,-5374.5,False,True
147.35,vigilancia,4,11,-53,-247,0,0,PGAgain,973892,10700,-549.8,True,False
148.00,vigilancia,4,11,-53,-247,0,1,BPo,984058,3776,-347.4,True,False
148.66,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742321,1697,-5161.7,False,False
149.31,vigilancia,4,11,-53,-247,0,3,SUMo,743064,1659,-5146.9,False,False
149.96,vigilancia,4,11,-53,-247,0,4,LPo,731716,171,-5372.9,False,True
160.61,vigilancia,4,11,-53,-247,0,0,PGAgain,974121,10585,-545.3,True,False
161.26,vigilancia,4,11,-53,-247,0,1,BPo,983886,2841,-350.8,True,False
161.91,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742435,1983,-5159.5,False,False
162.56,vigilancia,4,11,-53,-247,0,3,SUMo,742988,1735,-5148.4,False,False
163.21,vigilancia,4,11,-53,-247,0,4,LPo,731735,152,-5372.6,False,True
173.87,vigilancia,4,11,-53,-247,0,0,PGAgain,973625,11043,-555.2,True,False
174.52,vigilancia,4,11,-53,-247,0,1,BPo,984497,3776,-338.6,True,False
175.17,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742664,1773,-5154.9,False,False
175.82,vigilancia,4,11,-53,-247,0,3,SUMo,743179,1697,-5144.6,False,False
176.47,vigilancia,4,11,-53,-247,0,4,LPo,731735,152,-5372.6,False,True
187.12,vigilancia,4,11,-53,-247,0,0,PGAgain,974407,10185,-539.6,True,False
187.77,vigilancia,4,11,-53,-247,0,1,BPo,984363,3395,-341.3,True,False
188.42,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742244,1792,-5163.3,False,False
189.07,vigilancia,4,11,-53,-247,0,3,SUMo,743160,2250,-5145.0,False,False
189.73,vigilancia,4,11,-53,-247,0,4,LPo,731716,133,-5372.9,False,True
200.38,vigilancia,4,11,-53,-247,0,0,PGAgain,973968,10452,-548.3,True,False
201.03,vigilancia,4,11,-53,-247,0,1,BPo,983924,3509,-350.0,True,False
201.68,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742340,1678,-5161.4,False,False
202.33,vigilancia,4,11,-53,-247,0,3,SUMo,743026,2098,-5147.7,False,False
202.98,vigilancia,4,11,-53,-247,0,4,LPo,731735,114,-5372.6,False,True
213.63,vigilancia,4,11,-53,-247,0,0,PGAgain,974082,11005,-546.0,True,False
214.28,vigilancia,4,11,-53,-247,0,1,BPo,983657,3509,-355.4,True,False
214.94,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742435,1983,-5159.5,False,False
215.59,vigilancia,4,11,-53,-247,0,3,SUMo,742969,1392,-5148.8,False,False
216.24,vigilancia,4,11,-53,-247,0,4,LPo,731773,190,-5371.8,False,True
226.89,vigilancia,4,11,-53,-247,0,0,PGAgain,974273,10795,-542.2,True,False
227.54,vigilancia,4,11,-53,-247,0,1,BPo,984516,3204,-338.2,True,False
228.19,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742645,2517,-5155.3,False,False
228.84,vigilancia,4,11,-53,-247,0,3,SUMo,743179,2269,-5144.6,False,False
229.49,vigilancia,4,11,-53,-247,0,4,LPo,733337,4348,-5340.7,False,False
240.15,vigilancia,4,11,-53,-247,0,0,PGAgain,974216,11558,-543.4,True,False
240.80,vigilancia,4,11,-53,-247,0,1,BPo,984325,3776,-342.1,True,False
241.45,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,742378,1907,-5160.6,False,False
242.10,vigilancia,4,11,-53,-247,0,3,SUMo,743217,2136,-5143.9,False,False
242.75,vigilancia,4,11,-53,-247,0,4,LPo,734004,4558,-5327.4,False,False
253.40,vigilancia,4,11,-53,-247,0,0,PGAgain,974254,9803,-542.6,True,False
254.05,vigilancia,4,11,-53,-247,0,1,BPo,983619,3662,-356.1,True,False
257.80,vigilancia,4,11,-53,-247,0,2,OPA_SUMo,746536,2822,-5077.8,False,False
