t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
214.66,vigilancia,4,0,0,0,0,0,PGAgain,986347,228,-301.8,True,True
215.31,vigilancia,4,0,0,0,0,1,BPo,986442,438,-299.9,True,False
215.96,vigilancia,4,0,0,0,0,2,OPA_SUMo,986328,190,-302.2,True,True
216.61,vigilancia,4,0,0,0,0,3,SUMo,981788,896,-392.6,True,False
217.26,vigilancia,4,0,0,0,0,4,LPo,1010360,1621,176.5,True,False
220.91,vigilancia,4,0,0,0,0,0,PGAgain,986309,209,-302.5,True,True
221.56,vigilancia,4,0,0,0,0,1,BPo,986404,400,-300.6,True,False
222.20,vigilancia,4,0,0,0,0,2,OPA_SUMo,986270,171,-303.3,True,True
222.85,vigilancia,4,0,0,0,0,3,SUMo,981674,915,-394.8,True,False
223.50,vigilancia,4,0,0,0,0,4,LPo,1011219,2403,193.6,True,False
227.15,vigilancia,4,0,0,0,0,0,PGAgain,986328,209,-302.2,True,True
227.80,vigilancia,4,0,0,0,0,1,BPo,986423,438,-300.3,True,False
228.44,vigilancia,4,0,0,0,0,2,OPA_SUMo,986289,228,-302.9,True,True
229.09,vigilancia,4,0,0,0,0,3,SUMo,981559,782,-397.1,True,False
229.74,vigilancia,4,0,0,0,0,4,LPo,1011810,1811,205.3,True,False
233.39,vigilancia,4,0,0,0,0,0,PGAgain,986347,209,-301.8,True,True
234.04,vigilancia,4,0,0,0,0,1,BPo,986423,305,-300.3,True,False
234.69,vigilancia,4,0,0,0,0,2,OPA_SUMo,986251,190,-303.7,True,True
235.34,vigilancia,4,0,0,0,0,3,SUMo,981693,1029,-394.5,True,False
235.98,vigilancia,4,0,0,0,0,4,LPo,1010894,1907,187.1,True,False
239.63,vigilancia,4,0,0,0,0,0,PGAgain,986347,247,-301.8,True,True
240.28,vigilancia,4,0,0,0,0,1,BPo,986442,457,-299.9,True,False
240.93,vigilancia,4,0,0,0,0,2,OPA_SUMo,986232,228,-304.1,True,True
241.57,vigilancia,4,0,0,0,0,3,SUMo,981597,762,-396.4,True,False
242.21,vigilancia,4,0,0,0,0,4,LPo,1011295,2021,195.1,True,False
245.87,vigilancia,4,0,0,0,0,0,PGAgain,986366,190,-301.4,True,True
246.51,vigilancia,4,0,0,0,0,1,BPo,986461,362,-299.5,True,False
247.16,vigilancia,4,0,0,0,0,2,OPA_SUMo,986270,133,-303.3,True,True
247.81,vigilancia,4,0,0,0,0,3,SUMo,981483,915,-398.7,True,False
248.46,vigilancia,4,0,0,0,0,4,LPo,1011695,1888,203.0,True,False
252.11,vigilancia,4,0,0,0,0,0,PGAgain,986347,190,-301.8,True,True
252.76,vigilancia,4,0,0,0,0,1,BPo,986404,362,-300.6,True,False
253.41,vigilancia,4,0,0,0,0,2,OPA_SUMo,986232,171,-304.1,True,True
254.06,vigilancia,4,0,0,0,0,3,SUMo,981502,1220,-398.3,True,False
254.69,vigilancia,4,0,0,0,0,4,LPo,1011219,2136,193.6,True,False
259.82,vigilancia,4,0,0,0,0,0,PGAgain,986338,228,-302.0,True,True
262.36,vigilancia,4,0,0,0,0,1,BPo,986442,390,-299.9,True,False
263.29,vigilancia,4,0,0,0,0,2,OPA_SUMo,986251,171,-303.7,True,True
263.93,vigilancia,4,0,0,0,0,3,SUMo,981616,934,-396.0,True,False
264.58,vigilancia,4,0,0,0,0,4,LPo,1011219,2231,193.6,True,False
268.23,vigilancia,4,0,0,0,0,0,PGAgain,986309,190,-302.5,True,True
268.88,vigilancia,4,0,0,0,0,1,BPo,986404,400,-300.6,True,False
269.53,vigilancia,4,0,0,0,0,2,OPA_SUMo,986289,152,-302.9,True,True
270.18,vigilancia,4,0,0,0,0,3,SUMo,981616,1068,-396.0,True,False
270.83,vigilancia,4,0,0,0,0,4,LPo,1010799,1430,185.2,True,False
274.47,vigilancia,4,0,0,0,0,0,PGAgain,986366,247,-301.4,True,True
275.12,vigilancia,4,0,0,0,0,1,BPo,986461,457,-299.5,True,False
275.77,vigilancia,4,0,0,0,0,2,OPA_SUMo,986270,171,-303.3,True,True
276.42,vigilancia,4,0,0,0,0,3,SUMo,981693,629,-394.5,True,False
277.07,vigilancia,4,0,0,0,0,4,LPo,1010761,2079,184.4,True,False
280.72,vigilancia,4,0,0,0,0,0,PGAgain,986366,267,-301.4,True,True
281.37,vigilancia,4,0,0,0,0,1,BPo,986442,419,-299.9,True,False
282.02,vigilancia,4,0,0,0,0,2,OPA_SUMo,986270,171,-303.3,True,True
282.67,vigilancia,4,0,0,0,0,3,SUMo,981597,858,-396.4,True,False
283.32,vigilancia,4,0,0,0,0,4,LPo,1011447,2365,198.1,True,False
286.97,vigilancia,4,0,0,0,0,0,PGAgain,986347,209,-301.8,True,True
287.61,vigilancia,4,0,0,0,0,1,BPo,986442,457,-299.9,True,False
288.26,vigilancia,4,0,0,0,0,2,OPA_SUMo,986251,209,-303.7,True,True
288.91,vigilancia,4,0,0,0,0,3,SUMo,981483,1144,-398.7,True,False
289.55,vigilancia,4,0,0,0,0,4,LPo,1011772,1811,204.6,True,False
294.68,vigilancia,4,0,0,0,0,0,PGAgain,986356,200,-301.6,True,True
297.22,vigilancia,4,0,0,0,0,1,BPo,986470,419,-299.3,True,False
298.15,vigilancia,4,0,0,0,0,2,OPA_SUMo,986232,247,-304.1,True,True
298.80,vigilancia,4,0,0,0,0,3,SUMo,981464,858,-399.0,True,False
299.45,vigilancia,4,0,0,0,0,4,LPo,1012134,1583,211.8,True,False
303.10,vigilancia,4,0,0,0,0,0,PGAgain,986366,209,-301.4,True,True
303.75,vigilancia,4,0,0,0,0,1,BPo,986442,400,-299.9,True,False
304.40,vigilancia,4,0,0,0,0,2,OPA_SUMo,986213,190,-304.5,True,True
308.01,vigilancia,4,0,0,0,0,3,SUMo,981464,1144,-399.0,True,False
309.43,vigilancia,4,0,0,0,0,4,LPo,1012287,1392,214.8,True,False
313.08,vigilancia,4,0,0,0,0,0,PGAgain,986347,228,-301.8,True,True
313.73,vigilancia,4,0,0,0,0,1,BPo,986480,457,-299.1,True,False
314.38,vigilancia,4,0,0,0,0,2,OPA_SUMo,986232,209,-304.1,True,True
315.03,vigilancia,4,0,0,0,0,3,SUMo,981369,915,-400.9,True,False
315.68,vigilancia,4,0,0,0,0,4,LPo,1012058,2136,210.3,True,False
322.42,vigilancia,4,0,0,0,0,0,PGAgain,986366,267,-301.4,True,True
323.69,vigilancia,4,0,0,0,0,1,BPo,986442,419,-299.9,True,False
324.34,vigilancia,4,0,0,0,0,2,OPA_SUMo,986213,171,-304.5,True,True
