elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
7.089323499996681,IDAC0 base,0,0,0,952415,-49085,-977.5621345000001,3261,True
8.788063899992267,IDAC0 probe,0,1,0,954971,-46529,-926.6576053,2727,True
10.489927799993893,IDAC0 restore,0,0,0,951919,-49581,-987.4403217000001,3128,True
12.189343799982453,IDAC0 probe,0,-1,0,949306,-52194,-1039.4800458,3662,True
13.890428299986525,IDAC0 restore,0,0,0,952224,-49276,-981.3660332000001,3566,True
14.591864499991061,IDAC0 inicio,0,0,0,952053,-49447,-984.7716179,3242,True
15.64287680000416,IDAC0 rampa Newton,0,4,0,962638,-38862,-773.9639334000001,2479,True
16.692821400007233,IDAC0 rampa Newton,0,8,0,972862,-28638,-570.3458166,2403,True
17.74200729999575,IDAC0 rampa Newton,0,12,0,983123,-18377,-365.9908189,2231,True
18.791851499991026,IDAC0 rampa Newton,0,16,0,992736,-8764,-174.5411948,2422,True
19.839994099980686,IDAC0 rampa Newton,0,17,0,996093,-5407,-107.6841899,2593,True
20.48728139998275,IDAC0 post Newton,0,17,0,995731,-5769,-114.8936733,2613,True
22.634809199982556,IDAC0 PI,0,17,0,995521,-5979,-119.0759703,2326,True
24.836852499982342,IDAC0 PI,0,18,0,998210,-3290,-65.522653,2479,True
27.037591600004816,IDAC0 PI,0,19,0,1000747,-753,-14.9965221,2651,True
29.183898699993733,IDAC0 PI,0,19,0,1000499,-1001,-19.935615700000003,2536,True
31.332445100008044,IDAC0 PI,0,19,0,1000652,-848,-16.888513600000003,1945,True
37.11495889999787,IDAC0 PI,0,19,0,1000728,-772,-15.3749204,2231,True
39.26133569999365,IDAC0 PI,0,19,0,999870,-1630,-32.462591,2212,True
41.464031199982855,IDAC0 PI,0,20,0,1003074,1574,31.347311800000004,2193,True
43.66669959999854,IDAC0 PI,0,19,0,1000576,-924,-18.402106800000002,2021,True
45.813443999999436,IDAC0 PI,0,19,0,1000823,-677,-13.482928900000001,2117,True
51.599159899982624,IDAC0 PI,0,19,0,1000595,-905,-18.0237085,2136,True
52.08346279998659,IDAC0 verificación,0,19,0,1000442,-1058,-21.0708106,1792,True
