elapsed_s,phase,stage,code,channel,tap,bank_mv,real_v,error_real_mv,pp_real_mv,valid
6.935,base,2,0,0,PGAgain,950.088,1.3881675815999988,-1023.9059684000007,38.736036500000004,True
6.935,base,2,0,1,BPo,984.916,2.0817915812000027,-330.28196879999894,42.1615369,True
6.935,base,2,0,2,OPA_SUMo,907.382,0.5376476973999997,-1874.4258526000012,23.5403574,True
6.935,base,2,0,3,SUMo,909.156,0.5729781492000002,-1839.095400800001,12.9053736,True
6.935,base,2,0,4,LPo,1106.929,4.511765885300003,2099.692335300002,1.8919915,True
13.025,base,2,0,0,PGAgain,950.126,1.3889243782000011,-1023.1491718000005,39.492833100000006,True
13.025,base,2,0,1,BPo,984.992,2.0833051744000004,-328.76837560000075,34.93213780000001,True
13.025,base,2,0,2,OPA_SUMo,905.265,0.49548616050000055,-1916.5873895000004,18.6012638,True
13.025,base,2,0,3,SUMo,907.363,0.5372692991000003,-1874.804250899999,20.891569300000004,True
13.025,base,2,0,4,LPo,1106.91,4.511387487000004,2099.3139370000017,1.5135932,True
18.079,step,2,1,0,PGAgain,950.164,1.3896811748,-1022.3923752000003,43.2967318,True
18.079,step,2,1,1,BPo,985.126,2.085973878200002,-326.09967180000046,54.310113900000005,True
18.079,step,2,1,2,OPA_SUMo,925.617,0.9008104869000018,-1511.2630631000009,18.6012638,True
18.079,step,2,1,3,SUMo,933.361,1.0550376677000022,-1357.0358823000004,14.4189668,True
18.079,step,2,1,4,LPo,1106.91,4.511387487000004,2099.3139370000017,1.8919915,True
23.099,step,2,1,0,PGAgain,950.527,1.3969105739000005,-1015.1629760999992,47.4790288,True
23.099,step,2,1,1,BPo,984.706,2.0776092842,-334.4642657999997,43.2967318,True
23.099,step,2,1,2,OPA_SUMo,963.916,1.663561881200003,-748.5116687999989,12.148577000000001,True
23.099,step,2,1,3,SUMo,967.216,1.729283691200002,-682.7898587999998,10.2366698,True
23.099,step,2,1,4,LPo,1066.169,3.7000019533000015,1287.928403300002,50.8846135,True
28.085,step,2,1,0,PGAgain,950.66,1.399559362,-1012.5141880000007,51.2630118,True
28.085,step,2,1,1,BPo,985.031,2.0840818867000017,-327.99166330000105,53.5533173,True
28.085,step,2,1,2,OPA_SUMo,987.606,2.135364814200002,-276.7087358000001,15.175763400000001,True
28.085,step,2,1,3,SUMo,990.428,2.191566919600002,-220.50663040000006,9.4798732,True
28.085,step,2,1,4,LPo,952.11,1.4284371270000011,-983.6364229999998,56.2021054,True
33.08,step,2,1,0,PGAgain,950.87,1.4037416589999994,-1008.3318909999999,48.992622000000004,True
33.08,step,2,1,1,BPo,985.012,2.0837034883999985,-328.3700616000011,55.8237071,True
33.08,step,2,1,2,OPA_SUMo,1009.559,2.5725741763000007,160.5006262999994,9.8582715,True
33.08,step,2,1,3,SUMo,1012.039,2.6219651123000003,209.89156229999975,9.4798732,True
33.08,step,2,1,4,LPo,732.231,-2.9506070732999996,-5362.680623300001,4.1623813,False
