timestamp,elapsed_s,phase,idac2,channel,tap,bank_mv,pp_bank_mv,adc_ok,usable
2026-09-09T12:14:32.907,7.7,-1,0,0,PGAgain,952.377,2.861,1,1
2026-09-09T12:14:33.021,7.813,-1,0,1,BPo,991.954,1.354,1,1
2026-09-09T12:14:33.134,7.926,-1,0,2,OPA_SUMo,1096.668,0.648,1,1
2026-09-09T12:14:33.247,8.039,-1,0,3,SUMo,1095.924,0.591,1,1
2026-09-09T12:14:33.381,8.173,-1,0,4,LPo,732.192,0.114,1,0
2026-09-09T12:14:37.890,12.682,-1,0,0,PGAgain,952.51,2.422,1,1
2026-09-09T12:14:38.003,12.795,-1,0,1,BPo,991.687,2.555,1,1
2026-09-09T12:14:38.116,12.909,-1,0,2,OPA_SUMo,1097.412,0.705,1,1
2026-09-09T12:14:38.229,13.021,-1,0,3,SUMo,1096.782,0.858,1,1
2026-09-09T12:14:38.363,13.155,-1,0,4,LPo,732.154,0.152,1,0
2026-09-09T12:14:42.889,17.682,-1,0,0,PGAgain,952.568,2.574,1,1
2026-09-09T12:14:46.445,21.237,-1,0,1,BPo,990.638,2.098,1,1
2026-09-09T12:14:46.743,21.536,-1,0,2,OPA_SUMo,1099.777,0.667,1,1
2026-09-09T12:14:46.856,21.648,-1,0,3,SUMo,1099.185,0.667,1,1
2026-09-09T12:14:46.990,21.782,-1,0,4,LPo,732.192,0.114,1,0
2026-09-09T12:14:47.890,22.682,-1,0,0,PGAgain,952.51,3.7,1,1
2026-09-09T12:14:48.004,22.796,-1,0,1,BPo,990.791,2.231,1,1
2026-09-09T12:14:48.116,22.909,-1,0,2,OPA_SUMo,1100.196,0.457,1,1
2026-09-09T12:14:48.229,23.022,-1,0,3,SUMo,1099.452,0.495,1,1
2026-09-09T12:14:48.363,23.155,-1,0,4,LPo,732.192,0.19,1,0
2026-09-09T12:14:52.888,27.68,-1,0,0,PGAgain,952.415,3.395,1,1
2026-09-09T12:14:53.001,27.794,-1,0,1,BPo,990.657,2.441,1,1
2026-09-09T12:14:53.116,27.908,-1,0,2,OPA_SUMo,1100.482,0.667,1,1
2026-09-09T12:14:53.229,28.022,-1,0,3,SUMo,1099.662,0.591,1,1
2026-09-09T12:14:53.363,28.156,-1,0,4,LPo,732.192,0.19,1,0
2026-09-09T12:14:57.909,32.702,-1,0,0,PGAgain,952.491,2.25,1,1
2026-09-09T12:14:58.023,32.815,-1,0,1,BPo,990.581,1.811,1,1
2026-09-09T12:14:58.135,32.928,-1,0,2,OPA_SUMo,1100.711,0.476,1,1
2026-09-09T12:14:58.247,33.039,-1,0,3,SUMo,1099.91,0.61,1,1
2026-09-09T12:14:58.381,33.173,-1,0,4,LPo,732.135,0.076,1,0
2026-09-09T12:15:02.908,37.701,-1,0,0,PGAgain,952.625,2.918,1,1
2026-09-09T12:15:03.021,37.813,-1,0,1,BPo,990.409,2.689,1,1
2026-09-09T12:15:03.134,37.927,-1,0,2,OPA_SUMo,1100.864,0.514,1,1
2026-09-09T12:15:03.248,38.04,-1,0,3,SUMo,1100.12,0.419,1,1
2026-09-09T12:15:03.381,38.174,-1,0,4,LPo,732.097,0.114,1,0
2026-09-09T12:15:07.889,42.682,-1,0,0,PGAgain,952.682,3.07,1,1
2026-09-09T12:15:08.002,42.795,-1,0,1,BPo,990.314,2.937,1,1
2026-09-09T12:15:08.116,42.908,-1,0,2,OPA_SUMo,1100.959,0.762,1,1
