t_s,etapa,medido_real_mv,valido,error_mv,idac1,idac2,paso_fino,paso_grueso,motivo
1282.1,busca0,1690.2,True,-3290.2,16,-51,-51,0,
1287.8,busca0,1091.5,True,-2691.5,16,-93,-42,0,
1293.5,busca0,592.4,True,-2192.4,16,-127,-34,0,
1299.2,busca0,183.7,True,-1783.7,16,-155,-28,0,
1304.9,busca0,-199.2,True,-1400.8,16,-160,-5,0,fino en su limite (±160)
1313.7,busca0,-934.6,True,-665.4,16,-160,0,0,fino en su limite (±160)
1319.3,busca0,-2525.9,False,,16,-160,0,0,lectura fuera de rango; no se integra
1325.0,busca0,-4115.2,False,,16,-160,0,0,lectura fuera de rango; no se integra
1330.6,busca0,-5181.5,False,,16,-160,0,0,lectura fuera de rango; no se integra
1336.3,busca0,-5184.5,False,,16,-160,0,0,lectura fuera de rango; no se integra
1341.9,busca0,-5184.2,False,,16,-160,0,0,lectura fuera de rango; no se integra
1347.6,busca0,-5185.3,False,,16,-160,0,0,lectura fuera de rango; no se integra
1353.2,busca0,-5186.8,False,,16,-160,0,0,lectura fuera de rango; no se integra
1358.9,busca0,-5185.7,False,,16,-160,0,0,lectura fuera de rango; no se integra
1364.5,busca0,-5185.7,False,,16,-160,0,0,lectura fuera de rango; no se integra
1370.2,busca0,-5185.7,False,,16,-160,0,0,lectura fuera de rango; no se integra
1375.8,busca0,-5184.9,False,,16,-160,0,0,lectura fuera de rango; no se integra
1381.5,busca0,-5186.4,False,,16,-160,0,0,lectura fuera de rango; no se integra
1387.1,busca0,-5186.0,False,,16,-160,0,0,lectura fuera de rango; no se integra
1392.8,busca0,-5185.3,False,,16,-160,0,0,lectura fuera de rango; no se integra
1398.4,busca0,-5185.3,False,,16,-160,0,0,lectura fuera de rango; no se integra
1404.1,busca0,-5184.5,False,,16,-160,0,0,lectura fuera de rango; no se integra
1409.7,busca0,-5185.7,False,,16,-160,0,0,lectura fuera de rango; no se integra
1415.4,busca0,-5184.2,False,,16,-160,0,0,lectura fuera de rango; no se integra
1424.0,busca0,-5186.0,False,,16,-160,0,0,lectura fuera de rango; no se integra
1429.6,busca0,-5185.7,False,,16,-160,0,0,lectura fuera de rango; no se integra
1435.3,busca0,-5186.4,False,,16,-160,0,0,lectura fuera de rango; no se integra
1440.9,busca0,-5183.8,False,,16,-160,0,0,lectura fuera de rango; no se integra
1446.6,busca0,-5185.3,False,,16,-160,0,0,lectura fuera de rango; no se integra
1452.2,busca0,-5184.9,False,,16,-160,0,0,lectura fuera de rango; no se integra
1457.9,busca0,-5184.9,False,,16,-160,0,0,lectura fuera de rango; no se integra
1479.1,LPo,59.1,True,-59.1,16,13,13,0,
1484.8,LPo,53.8,True,-53.8,16,25,12,0,
1490.5,LPo,48.8,True,-48.8,16,36,11,0,
