t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
279.222,1,19,-255,-64,fino,0,PGAgain,1000461.0,11024.0,True,True,False,-20.69241229999975
279.873,1,19,-255,-64,fino,1,BPo,961589.0,22411.0,True,True,False,-794.855502699999
280.52,1,19,-255,-64,fino,2,OPA_SUMo,998363.0,1811.0,True,True,False,-62.47555089999888
284.586,1,19,-255,-64,fino,3,SUMo,998401.0,1373.0,True,True,False,-61.718754300000924
285.851,1,19,-255,-64,fino,4,LPo,1033859.0,6256.0,True,True,False,644.4521362999985
288.057,1,19,-255,-62,fino,0,PGAgain,1000003.0,12969.0,True,True,False,-29.81380289999915
288.708,1,19,-255,-62,fino,1,BPo,960559.0,20885.0,True,True,False,-815.3686737000006
289.358,1,19,-255,-62,fino,2,OPA_SUMo,999031.0,1945.0,True,True,False,-49.171863300001014
290.009,1,19,-255,-62,fino,3,SUMo,999126.0,1411.0,True,True,False,-47.27987180000047
290.659,1,19,-255,-62,fino,4,LPo,1028003.0,6694.0,True,True,False,527.8257970999986
294.816,1,19,-255,-60,fino,0,PGAgain,999565.0,19607.0,True,True,False,-38.53687949999892
295.465,1,19,-255,-60,fino,1,BPo,960388.0,24528.0,True,True,False,-818.7742583999993
296.114,1,19,-255,-60,fino,2,OPA_SUMo,999774.0,1525.0,True,True,False,-34.374498199999984
296.765,1,19,-255,-60,fino,3,SUMo,999755.0,1754.0,True,True,False,-34.75289650000009
297.415,1,19,-255,-60,fino,4,LPo,1020526.0,6103.0,True,True,False,378.9161081999991
299.62,1,19,-255,-56,fino,0,PGAgain,1000022.0,16479.0,True,True,False,-29.435404599999043
300.267,1,19,-255,-56,fino,1,BPo,959968.0,19035.0,True,True,False,-827.1388524000008
304.435,1,19,-255,-56,fino,2,OPA_SUMo,1000804.0,1773.0,True,True,False,-13.861327200000526
305.698,1,19,-255,-56,fino,3,SUMo,1000690.0,1792.0,True,True,False,-16.131716999998915
306.349,1,19,-255,-56,fino,4,LPo,1010150.0,5855.0,True,True,False,172.27080499999957
397.107,1,19,-192,0,referencia,0,PGAgain,1000480.0,20332.0,True,True,False,-20.314013999999638
397.754,1,19,-192,0,referencia,1,BPo,966892.0,21209.0,True,True,False,-689.242545599999
398.405,1,19,-192,0,referencia,2,OPA_SUMo,993309.0,2193.0,True,True,False,-163.12949870000062
399.055,1,19,-192,0,referencia,3,SUMo,993309.0,1258.0,True,True,False,-163.12949870000062
399.705,1,19,-192,0,referencia,4,LPo,998592.0,1564.0,True,True,False,-57.91485560000031
401.909,1,19,-192,-255,malla,0,PGAgain,999259.0,2593.0,True,True,False,-44.631083699999714
405.958,1,19,-192,-255,malla,1,BPo,968265.0,4119.0,True,True,False,-661.8982895000003
407.221,1,19,-192,-255,malla,2,OPA_SUMo,901355.0,1087.0,True,True,False,-1994.4577764999997
407.872,1,19,-192,-255,malla,3,SUMo,902557.0,1926.0,True,True,False,-1970.5191050999997
408.501,1,19,-192,-255,malla,4,LPo,1106586.0,114.0,True,True,True,2092.8612502000005
410.705,1,19,-192,-128,malla,0,PGAgain,999488.0,2784.0,True,True,False,-40.070388399998876
411.358,1,19,-192,-128,malla,1,BPo,966510.0,4444.0,True,True,False,-696.8503430000002
412.01,1,19,-192,-128,malla,2,OPA_SUMo,961608.0,610.0,True,True,False,-794.477104400001
412.658,1,19,-192,-128,malla,3,SUMo,961856.0,820.0,True,True,False,-789.5380108000002
413.308,1,19,-192,-128,malla,4,LPo,1106586.0,114.0,True,True,True,2092.8612502000005
415.51,1,19,-192,-64,malla,0,PGAgain,999832.0,2841.0,True,True,False,-33.219387600000125
416.162,1,19,-192,-64,malla,1,BPo,966224.0,3776.0,True,True,False,-702.5462331999992
416.815,1,19,-192,-64,malla,2,OPA_SUMo,978336.0,667.0,True,True,False,-461.32727479999977
417.465,1,19,-192,-64,malla,3,SUMo,978507.0,705.0,True,True,False,-457.92169010000106
418.095,1,19,-192,-64,malla,4,LPo,1062545.0,1659.0,True,True,False,1215.7539065000014
420.297,1,19,-192,0,malla,0,PGAgain,1000175.0,4100.0,True,True,False,-26.388302500000908
420.947,1,19,-192,0,malla,1,BPo,966224.0,4634.0,True,True,False,-702.5462331999992
425.057,1,19,-192,0,malla,2,OPA_SUMo,994453.0,476.0,True,True,False,-140.3459379000005
426.319,1,19,-192,0,malla,3,SUMo,994338.0,514.0,True,True,False,-142.6362434000007
426.949,1,19,-192,0,malla,4,LPo,980529.0,1316.0,True,True,False,-417.6521447000001
429.151,1,19,-192,64,malla,0,PGAgain,1000976.0,2822.0,True,True,False,-10.435826800000019
429.798,1,19,-192,64,malla,1,BPo,966510.0,4272.0,True,True,False,-696.8503430000002
430.445,1,19,-192,64,malla,2,OPA_SUMo,1010246.0,686.0,True,True,False,174.18271219999963
431.093,1,19,-192,64,malla,3,SUMo,1009960.0,476.0,True,True,False,168.48682200000073
431.721,1,19,-192,64,malla,4,LPo,826816.0,3166.0,True,False,False,-3478.9541388
435.868,1,19,-192,128,malla,0,PGAgain,1000747.0,3337.0,True,True,False,-14.996522100000853
436.516,1,19,-192,128,malla,1,BPo,966854.0,5321.0,True,True,False,-689.9993421999992
437.165,1,19,-192,128,malla,2,OPA_SUMo,1024761.0,782.0,True,True,False,463.25909769999936
437.813,1,19,-192,128,malla,3,SUMo,1024436.0,705.0,True,True,False,456.78649519999846
438.463,1,19,-192,128,malla,4,LPo,732021.0,171.0,True,False,True,-5366.862920300001
440.664,1,19,-192,255,malla,0,PGAgain,1000938.0,3166.0,True,True,False,-11.192623400000237
441.315,1,19,-192,255,malla,1,BPo,966129.0,4882.0,True,True,False,-704.4382246999996
445.434,1,19,-192,255,malla,2,OPA_SUMo,1056156.0,915.0,True,True,False,1088.512499199999
446.694,1,19,-192,255,malla,3,SUMo,1055774.0,686.0,True,True,False,1080.9047017999978
447.339,1,19,-192,255,malla,4,LPo,731983.0,209.0,True,False,True,-5367.619716900002
449.541,1,19,-192,-8,fino,0,PGAgain,1000041.0,2956.0,True,True,False,-29.057006299998932
450.189,1,19,-192,-8,fino,1,BPo,967502.0,5283.0,True,True,False,-677.093968600001
450.838,1,19,-192,-8,fino,2,OPA_SUMo,988559.0,686.0,True,True,False,-257.72907370000064
451.486,1,19,-192,-8,fino,3,SUMo,988616.0,648.0,True,True,False,-256.5938788000003
452.137,1,19,-192,-8,fino,4,LPo,996875.0,1392.0,True,True,False,-92.1101125
456.283,1,19,-192,-4,fino,0,PGAgain,1000232.0,3566.0,True,True,False,-25.253107600000583
456.931,1,19,-192,-4,fino,1,BPo,967044.0,5588.0,True,True,False,-686.2153592000004
