t_s,bloque,idac2,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido
272.2,0,-210,0,PGAgain,995540,133,-118.7,True
272.8,0,-210,1,BPo,996589,457,-97.8,True
273.5,0,-210,2,OPA_SUMo,742092,190,-5166.3,False
274.1,0,-210,3,SUMo,746021,171,-5088.0,False
274.8,0,-210,4,LPo,837955,1277,-3257.1,False
285.4,0,-210,0,PGAgain,995521,152,-119.1,True
286.1,0,-210,1,BPo,996589,381,-97.8,True
286.7,0,-210,2,OPA_SUMo,742073,247,-5166.7,False
287.4,0,-210,3,SUMo,745964,152,-5089.2,False
288.0,0,-210,4,LPo,837936,1487,-3257.5,False
298.6,0,-210,0,PGAgain,995502,114,-119.5,True
302.4,0,-210,1,BPo,996532,362,-98.9,True
303.7,0,-210,2,OPA_SUMo,742053,171,-5167.1,False
304.3,0,-210,3,SUMo,745983,190,-5088.8,False
305.0,0,-210,4,LPo,837802,1392,-3260.2,False
315.6,0,-210,0,PGAgain,995521,133,-119.1,True
317.7,0,-210,1,BPo,996551,334,-98.6,True
320.3,0,-210,2,OPA_SUMo,742072,171,-5166.7,False
321.2,0,-210,3,SUMo,746021,171,-5088.0,False
321.8,0,-210,4,LPo,837726,1182,-3261.7,False
332.5,0,-210,0,PGAgain,995483,95,-119.8,True
333.1,0,-210,1,BPo,996532,362,-98.9,True
336.9,0,-210,2,OPA_SUMo,742111,114,-5165.9,False
338.1,0,-210,3,SUMo,746002,171,-5088.4,False
338.8,0,-210,4,LPo,837612,1277,-3263.9,False
349.4,0,-210,0,PGAgain,995483,133,-119.8,True
350.1,0,-210,1,BPo,996532,267,-98.9,True
350.7,0,-210,2,OPA_SUMo,742034,171,-5167.4,False
351.4,0,-210,3,SUMo,745964,152,-5089.2,False
352.0,0,-210,4,LPo,837535,1144,-3265.5,False
362.7,0,-210,0,PGAgain,995502,95,-119.5,True
363.3,0,-210,1,BPo,996532,362,-98.9,True
364.0,0,-210,2,OPA_SUMo,742015,190,-5167.8,False
364.6,0,-210,3,SUMo,745887,228,-5090.7,False
368.3,0,-210,4,LPo,837478,1182,-3266.6,False
378.9,0,-210,0,PGAgain,995502,152,-119.5,True
379.6,0,-210,1,BPo,996513,381,-99.3,True
380.2,0,-210,2,OPA_SUMo,742073,247,-5166.7,False
