timestamp,elapsed_s,cycle,index,idac3,channel,tap,bank_uv,physical_v,pp_bank_uv,adc_ok
2026-09-10T08:40:13.662,21.239,1,0,0,2,OPA_SUMo,942687,1.24077,991,1
2026-09-10T08:40:14.249,21.826,1,0,0,3,SUMo,943489,1.25674,991,1
2026-09-10T08:40:14.856,22.433,1,0,0,4,LPo,1106109,4.49544,152,1
2026-09-10T08:40:18.498,26.075,1,1,8,2,OPA_SUMo,942459,1.23623,1316,1
2026-09-10T08:40:19.085,26.662,1,1,8,3,SUMo,943260,1.25218,1087,1
2026-09-10T08:40:19.692,27.269,1,1,8,4,LPo,1106109,4.49544,114,1
2026-09-10T08:40:23.330,30.907,1,2,16,2,OPA_SUMo,942440,1.23585,1068,1
2026-09-10T08:40:23.916,31.493,1,2,16,3,SUMo,942878,1.24458,1010,1
2026-09-10T08:40:24.519,32.096,1,2,16,4,LPo,1106090,4.49506,152,1
2026-09-10T08:40:28.181,35.759,1,3,24,2,OPA_SUMo,942287,1.23281,1220,1
2026-09-10T08:40:28.768,36.345,1,3,24,3,SUMo,942974,1.24649,991,1
2026-09-10T08:40:29.375,36.952,1,3,24,4,LPo,1106071,4.49468,114,1
2026-09-10T08:40:33.015,40.592,1,4,32,2,OPA_SUMo,941963,1.22635,934,1
2026-09-10T08:40:33.602,41.179,1,4,32,3,SUMo,942897,1.24495,1296,1
2026-09-10T08:40:34.209,41.786,1,4,32,4,LPo,1106109,4.49544,133,1
2026-09-10T08:40:37.869,45.446,1,5,40,2,OPA_SUMo,941810,1.22331,1525,1
2026-09-10T08:40:38.455,46.032,1,5,40,3,SUMo,942554,1.23812,1583,1
2026-09-10T08:40:39.040,46.617,1,5,40,4,LPo,1106071,4.49468,114,1
