timestamp,elapsed_s,cycle,index,idac3,channel,tap,bank_uv,physical_v,pp_bank_uv,adc_ok
2026-09-10T08:45:45.809,133.355,1,22,-40,3,SUMo,915813,0.70556,1754,1
2026-09-10T08:45:46.416,133.962,1,22,-40,4,LPo,730972,-2.97568,152,1
2026-09-10T08:45:50.057,137.602,1,23,-40,2,OPA_SUMo,914096,0.67136,2040,1
2026-09-10T08:45:50.641,138.187,1,23,-40,3,SUMo,914039,0.67023,1506,1
2026-09-10T08:45:51.229,138.774,1,23,-40,4,LPo,730934,-2.97644,247,1
2026-09-10T08:45:54.867,142.413,1,24,-40,2,OPA_SUMo,912704,0.64364,1354,1
2026-09-10T08:45:55.454,143.0,1,24,-40,3,SUMo,912628,0.64213,1792,1
2026-09-10T08:45:56.060,143.606,1,24,-40,4,LPo,730895,-2.97721,190,1
2026-09-10T08:45:59.720,147.265,1,25,-40,2,OPA_SUMo,911293,0.61554,2326,1
2026-09-10T08:46:00.307,147.853,1,25,-40,3,SUMo,911483,0.61932,2784,1
2026-09-10T08:46:00.913,148.458,1,25,-40,4,LPo,730934,-2.97644,152,1
