timestamp,elapsed_s,cycle,index,idac3,channel,tap,bank_uv,physical_v,pp_bank_uv,adc_ok
2026-09-10T08:41:07.685,19.19,1,0,-128,2,OPA_SUMo,942783,1.24268,1258,1
2026-09-10T08:41:08.272,19.776,1,0,-128,3,SUMo,942459,1.23623,1525,1
2026-09-10T08:41:12.756,24.26,1,0,-128,4,LPo,731048,-2.97417,133,1
2026-09-10T08:41:18.499,30.003,1,1,-96,2,OPA_SUMo,933704,1.06187,1487,1
2026-09-10T08:41:19.086,30.59,1,1,-96,3,SUMo,933361,1.05504,1449,1
2026-09-10T08:41:19.689,31.193,1,1,-96,4,LPo,730972,-2.97568,209,1
2026-09-10T08:41:23.349,34.853,1,2,-64,2,OPA_SUMo,929660,0.98133,877,1
2026-09-10T08:41:23.935,35.439,1,2,-64,3,SUMo,929336,0.97488,1087,1
2026-09-10T08:41:24.540,36.045,1,2,-64,4,LPo,730915,-2.97682,152,1
2026-09-10T08:41:28.193,39.697,1,3,-48,2,OPA_SUMo,926094,0.91031,915,1
2026-09-10T08:41:28.777,40.282,1,3,-48,3,SUMo,925731,0.90308,1087,1
2026-09-10T08:41:29.365,40.869,1,3,-48,4,LPo,730972,-2.97568,152,1
2026-09-10T08:41:33.019,44.523,1,4,-32,2,OPA_SUMo,922946,0.84762,1659,1
2026-09-10T08:41:33.606,45.11,1,4,-32,3,SUMo,922756,0.84383,2307,1
2026-09-10T08:41:34.213,45.717,1,4,-32,4,LPo,730991,-2.9753,152,1
2026-09-10T08:41:37.866,49.371,1,5,-16,2,OPA_SUMo,920295,0.79482,2098,1
2026-09-10T08:41:38.453,49.957,1,5,-16,3,SUMo,919990,0.78874,1735,1
2026-09-10T08:41:39.060,50.564,1,5,-16,4,LPo,731010,-2.97492,209,1
2026-09-10T08:41:42.699,54.203,1,6,0,2,OPA_SUMo,917968,0.74848,1373,1
2026-09-10T08:41:43.286,54.79,1,6,0,3,SUMo,918178,0.75266,2822,1
2026-09-10T08:41:43.866,55.371,1,6,0,4,LPo,730915,-2.97682,152,1
2026-09-10T08:41:47.505,59.01,1,7,16,2,OPA_SUMo,916042,0.71012,1411,1
2026-09-10T08:41:48.093,59.597,1,7,16,3,SUMo,916099,0.71125,1277,1
2026-09-10T08:41:48.696,60.2,1,7,16,4,LPo,731010,-2.97492,152,1
2026-09-10T08:41:52.338,63.842,1,8,32,2,OPA_SUMo,917034,0.72987,1583,1
2026-09-10T08:41:52.923,64.428,1,8,32,3,SUMo,918502,0.75911,1506,1
2026-09-10T08:41:53.509,65.014,1,8,32,4,LPo,1106071,4.49468,133,1
2026-09-10T08:41:57.150,68.654,1,9,48,2,OPA_SUMo,921096,0.81077,1392,1
2026-09-10T08:41:57.737,69.241,1,9,48,3,SUMo,922489,0.83851,1144,1
2026-09-10T08:41:58.344,69.849,1,9,48,4,LPo,1106090,4.49506,133,1
2026-09-10T08:42:02.005,73.509,1,10,64,2,OPA_SUMo,924549,0.87954,1583,1
2026-09-10T08:42:02.609,74.113,1,10,64,3,SUMo,925979,0.90802,1544,1
2026-09-10T08:42:03.193,74.698,1,10,64,4,LPo,1106071,4.49468,133,1
2026-09-10T08:42:06.850,78.355,1,11,80,2,OPA_SUMo,927162,0.93158,1449,1
2026-09-10T08:42:07.437,78.941,1,11,80,3,SUMo,928859,0.96538,2174,1
2026-09-10T08:42:08.044,79.548,1,11,80,4,LPo,1106090,4.49506,114,1
2026-09-10T08:42:11.699,83.203,1,12,96,2,OPA_SUMo,929470,0.97755,1525,1
2026-09-10T08:42:12.286,83.79,1,12,96,3,SUMo,931091,1.00983,1983,1
2026-09-10T08:42:12.886,84.39,1,12,96,4,LPo,1106090,4.49506,114,1
2026-09-10T08:42:16.544,88.048,1,13,80,2,OPA_SUMo,931568,1.01933,2040,1
2026-09-10T08:42:17.131,88.635,1,13,80,3,SUMo,932788,1.04363,1449,1
