elapsed_s,phase,stage,code,channel,mean_bank_uv,error_bank_uv,error_real_mv,pp_bank_uv,valid
7.0660940000088885,IDAC0 base,0,0,0,952606,-48894,-973.7582358000001,2784,True
8.765450800012331,IDAC0 probe,0,1,0,955181,-46319,-922.4753083,2689,True
10.46634250000352,IDAC0 restore,0,0,0,951900,-49600,-987.8187200000001,2899,True
12.165494799992302,IDAC0 probe,0,-1,0,949306,-52194,-1039.4800458,2727,True
13.866419199999655,IDAC0 restore,0,0,0,952186,-49314,-982.1228298000001,2574,True
14.565774199989391,IDAC0 inicio,0,0,0,952110,-49390,-983.636423,2498,True
15.61555529999896,IDAC0 rampa Newton,0,4,0,962753,-38747,-771.6736279,2136,True
16.664476400008425,IDAC0 rampa Newton,0,8,0,972919,-28581,-569.2106217,2155,True
17.714815499988617,IDAC0 rampa Newton,0,12,0,983066,-18434,-367.1260138,2021,True
18.76537079998525,IDAC0 rampa Newton,0,16,0,993080,-8420,-167.69019400000002,2288,True
19.816731400002027,IDAC0 rampa Newton,0,17,0,996208,-5292,-105.3938844,2231,True
20.462750100006815,IDAC0 post Newton,0,17,0,995426,-6074,-120.9679618,2288,True
22.608153799985303,IDAC0 PI,0,17,0,995368,-6132,-122.1230724,2002,True
24.809518399997614,IDAC0 PI,0,18,0,998439,-3061,-60.961957700000006,2136,True
27.0103369000135,IDAC0 PI,0,19,0,1001014,-486,-9.679030200000001,2136,True
29.158320099988487,IDAC0 PI,0,19,0,1000823,-677,-13.482928900000001,2479,True
31.307167899998603,IDAC0 PI,0,19,0,1000423,-1077,-21.449208900000002,2689,True
33.453482799988706,IDAC0 PI,0,19,0,999946,-1554,-30.9489978,2193,True
35.65530189999845,IDAC0 PI,0,20,0,1002998,1498,29.8337186,2098,True
37.85741140000755,IDAC0 PI,0,19,0,1000976,-524,-10.435826800000001,2307,True
40.00319089999539,IDAC0 PI,0,19,0,1000995,-505,-10.0574285,2212,True
42.15103569999337,IDAC0 PI,0,19,0,1001014,-486,-9.679030200000001,2536,True
44.30050310000661,IDAC0 PI,0,19,0,1000671,-829,-16.510115300000002,2555,True
46.44784229999641,IDAC0 PI,0,19,0,1000099,-1401,-27.9018957,2117,True
48.597949899995,IDAC0 PI,0,19,0,1000442,-1058,-21.0708106,2555,True
50.46553950000089,IDAC0 PI,0,19,0,1000709,-791,-15.753318700000001,2346,True
51.11289489999763,IDAC0 verificación,0,19,0,1000766,-734,-14.618123800000001,2346,True
