timestamp,elapsed_s,phase,idac2,channel,tap,bank_mv,pp_bank_mv,adc_ok,usable
2026-09-09T12:27:02.227,17.78,0,0,2,OPA_SUMo,1100.959,0.629,1,1
2026-09-09T12:27:02.341,17.894,0,0,3,SUMo,1100.215,0.591,1,1
2026-09-09T12:27:02.476,18.029,0,0,4,LPo,732.154,0.133,1,0
2026-09-09T12:27:02.726,18.279,0,0,2,OPA_SUMo,1101.15,0.4,1,1
2026-09-09T12:27:02.840,18.392,0,0,3,SUMo,1100.33,0.553,1,1
2026-09-09T12:27:02.974,18.527,0,0,4,LPo,732.154,0.114,1,0
2026-09-09T12:27:03.281,18.834,1,-1,2,OPA_SUMo,1101.074,1.411,1,1
2026-09-09T12:27:03.394,18.947,1,-1,3,SUMo,1100.273,0.553,1,1
2026-09-09T12:27:03.528,19.081,1,-1,4,LPo,732.154,0.247,1,0
2026-09-09T12:27:03.782,19.335,1,-1,2,OPA_SUMo,1101.15,0.591,1,1
2026-09-09T12:27:03.896,19.449,1,-1,3,SUMo,1100.368,0.705,1,1
2026-09-09T12:27:04.031,19.583,1,-1,4,LPo,732.212,0.114,1,0
2026-09-09T12:27:06.375,21.928,2,-2,2,OPA_SUMo,1100.997,0.705,1,1
2026-09-09T12:27:06.490,22.043,2,-2,3,SUMo,1100.273,0.324,1,1
2026-09-09T12:27:06.625,22.178,2,-2,4,LPo,732.231,0.114,1,0
2026-09-09T12:27:06.877,22.43,2,-2,2,OPA_SUMo,1101.074,0.476,1,1
2026-09-09T12:27:06.990,22.543,2,-2,3,SUMo,1100.273,0.534,1,1
2026-09-09T12:27:07.124,22.677,2,-2,4,LPo,732.173,0.133,1,0
2026-09-09T12:27:07.425,22.978,3,-3,2,OPA_SUMo,1101.093,0.877,1,1
2026-09-09T12:27:07.539,23.092,3,-3,3,SUMo,1100.215,0.61,1,1
2026-09-09T12:27:07.652,23.205,3,-3,4,LPo,732.154,0.133,1,0
2026-09-09T12:27:07.927,23.48,3,-3,2,OPA_SUMo,1101.131,0.495,1,1
2026-09-09T12:27:08.041,23.593,3,-3,3,SUMo,1100.387,0.629,1,1
2026-09-09T12:27:08.175,23.727,3,-3,4,LPo,732.154,0.095,1,0
2026-09-09T12:27:08.482,24.034,4,-4,2,OPA_SUMo,1101.131,0.591,1,1
2026-09-09T12:27:08.595,24.147,4,-4,3,SUMo,1100.234,0.686,1,1
2026-09-09T12:27:08.729,24.282,4,-4,4,LPo,732.135,0.152,1,0
2026-09-09T12:27:08.980,24.532,4,-4,2,OPA_SUMo,1101.169,0.724,1,1
2026-09-09T12:27:09.093,24.646,4,-4,3,SUMo,1100.368,0.648,1,1
2026-09-09T12:27:09.228,24.781,4,-4,4,LPo,732.135,0.114,1,0
2026-09-09T12:27:09.533,25.085,5,-5,2,OPA_SUMo,1101.15,0.858,1,1
2026-09-09T12:27:09.646,25.199,5,-5,3,SUMo,1100.292,0.476,1,1
2026-09-09T12:27:09.779,25.332,5,-5,4,LPo,732.212,0.171,1,0
