elapsed_s,phase,stage,code,channel,tap,bank_mv,real_v,error_real_mv,pp_real_mv,valid
9.12,base,0,0,0,PGAgain,950.87,1.4037416589999994,-1008.3318909999999,38.736036500000004,True
9.12,base,0,0,1,BPo,985.908,2.1015479556000027,-310.5255943999997,49.371020300000005,True
9.12,base,0,0,2,OPA_SUMo,908.47,0.5593159790000027,-1852.7575709999996,21.6483659,True
9.12,base,0,0,3,SUMo,907.764,0.5452554947999997,-1866.8180552,10.6349838,True
9.12,base,0,0,4,LPo,1106.967,4.512522681900002,2100.449131900002,1.5135932,True
13.019,base,0,0,0,PGAgain,950.565,1.3976673705000031,-1014.406179499999,37.9792399,True
13.019,base,0,0,1,BPo,985.412,2.0916697684000027,-320.4037815999993,33.796942900000005,True
13.019,base,0,0,2,OPA_SUMo,905.78,0.5057427459999999,-1906.3308040000006,18.6012638,True
13.019,base,0,0,3,SUMo,907.23,0.534620511000001,-1877.4530389999998,17.8444672,True
13.019,base,0,0,4,LPo,1106.91,4.511387487000004,2099.3139370000017,2.2703898,True
18.094,step,0,1,0,PGAgain,953.598,1.458071688600001,-954.001861400001,23.1619591,True
18.094,step,0,1,1,BPo,982.799,2.0396300443,-372.44350570000046,42.9183335,True
18.094,step,0,1,2,OPA_SUMo,905.551,0.5011820507000011,-1910.8914992999992,22.405162500000003,True
18.094,step,0,1,3,SUMo,906.62,0.522471934000001,-1889.601616,15.175763400000001,True
18.094,step,0,1,4,LPo,1106.891,4.511009088700004,2098.9355387000014,1.8919915,True
23.078,step,0,1,0,PGAgain,953.578,1.457673374599999,-954.4001754000005,28.1010527,True
23.078,step,0,1,1,BPo,982.952,2.0426771464000013,-369.39640360000004,51.2630118,True
23.078,step,0,1,2,OPA_SUMo,902.614,0.44268963980000264,-1969.3839101999995,27.344256100000003,True
23.078,step,0,1,3,SUMo,903.949,0.4692770993000013,-1942.796450700001,14.4189668,True
23.078,step,0,1,4,LPo,1106.929,4.511765885300003,2099.692335300002,1.8919915,True
28.073,step,0,1,0,PGAgain,953.369,1.453510993300002,-958.5625566999995,37.2224433,True
28.073,step,0,1,1,BPo,983.715,2.0578728255000023,-354.2007244999994,43.675130100000004,True
28.073,step,0,1,2,OPA_SUMo,900.154,0.39369701780000105,-2018.3765322000002,30.7498408,True
28.073,step,0,1,3,SUMo,901.508,0.42066287560000276,-1991.4106743999994,26.965857800000002,True
28.073,step,0,1,4,LPo,1106.891,4.511009088700004,2098.9355387000014,2.2703898,True
33.075,step,0,1,0,PGAgain,953.617,1.4584500869000003,-953.6234631000008,33.418544600000004,True
33.075,step,0,1,1,BPo,983.963,2.0628119191000005,-349.2616309000007,56.2021054,True
33.075,step,0,1,2,OPA_SUMo,898.132,0.35342747239999883,-2058.6460776000013,32.661748,True
33.075,step,0,1,3,SUMo,899.562,0.3819069234000017,-2030.1666266,24.297154000000003,True
33.075,step,0,1,4,LPo,1106.891,4.511009088700004,2098.9355387000014,1.8919915,True
38.094,step,0,1,0,PGAgain,953.388,1.4538893916000015,-958.1841583999994,38.736036500000004,True
38.094,step,0,1,1,BPo,984.287,2.0692646059000035,-342.80894409999934,49.749418600000006,True
38.094,step,0,1,2,OPA_SUMo,896.034,0.311644333799999,-2100.4292162,22.026764200000002,True
38.094,step,0,1,3,SUMo,897.655,0.34392768350000186,-2068.1458665000005,19.736458700000004,True
38.094,step,0,1,4,LPo,1106.91,4.511387487000004,2099.3139370000017,1.8919915,True
49.173,step,0,1,0,PGAgain,953.712,1.460342078400001,-951.7314716000003,49.749418600000006,True
49.173,step,0,1,1,BPo,984.268,2.0688862076000003,-343.18734239999947,34.93213780000001,True
49.173,step,0,1,2,OPA_SUMo,894.508,0.28125297560000034,-2130.8205743999993,12.9053736,True
49.173,step,0,1,3,SUMo,892.524,0.24174022680000054,-2170.3333232,16.330874,True
49.173,step,0,1,4,LPo,1106.91,4.511387487000004,2099.3139370000017,1.5135932,True
53.073,step,0,1,0,PGAgain,953.369,1.453510993300002,-958.5625566999995,53.931715600000004,True
53.073,step,0,1,1,BPo,984.516,2.0738253011999985,-338.24824880000074,42.1615369,True
53.073,step,0,1,2,OPA_SUMo,888.481,0.16122105170000214,-2250.8524983,25.8107472,True
53.073,step,0,1,3,SUMo,890.369,0.19882189330000255,-2213.2516566999993,33.796942900000005,True
53.073,step,0,1,4,LPo,1106.891,4.511009088700004,2098.9355387000014,1.8919915,True
58.072,step,0,1,0,PGAgain,953.273,1.4515990861000028,-960.4744638999996,41.0064263,True
58.072,step,0,1,1,BPo,985.012,2.0837034883999985,-328.3700616000011,72.15458110000002,True
58.072,step,0,1,2,OPA_SUMo,888.137,0.15437005090000094,-2257.7034991000014,31.1481548,True
58.072,step,0,1,3,SUMo,889.625,0.1840046125000008,-2228.0689375,26.965857800000002,True
58.072,step,0,1,4,LPo,1106.891,4.511009088700004,2098.9355387000014,2.2703898,True
66.988,step,0,1,0,PGAgain,953.483,1.4557813830999984,-956.2921669000011,53.931715600000004,True
66.988,step,0,1,1,BPo,985.088,2.0852170815999997,-326.8564684000007,51.6414101,True
66.988,step,0,1,2,OPA_SUMo,887.126,0.13423527820000164,-2277.8382718000007,19.736458700000004,True
66.988,step,0,1,3,SUMo,888.957,0.17070092490000024,-2241.3726251000003,26.965857800000002,True
66.988,step,0,1,4,LPo,1106.872,4.510630690400001,2098.5571404000016,2.6487881000000004,True
73.075,step,0,1,0,PGAgain,953.388,1.4538893916000015,-958.1841583999994,57.7356143,True
73.075,step,0,1,1,BPo,985.26,2.0886425820000003,-323.4309680000002,56.2021054,True
73.075,step,0,1,2,OPA_SUMo,884.799,0.08789144429999943,-2324.1821057000006,21.2699676,True
73.075,step,0,1,3,SUMo,886.745,0.12664739650000048,-2285.4261535,25.4323489,True
73.075,step,0,1,4,LPo,1106.853,4.5102522921000014,2098.1787421000013,1.8919915,True
78.076,step,0,1,0,PGAgain,953.311,1.4523558827000016,-959.7176672999993,64.9450977,True
78.076,step,0,1,1,BPo,984.859,2.080656386300001,-331.41716369999926,65.7018943,True
78.076,step,0,1,2,OPA_SUMo,884.685,0.08562105449999945,-2326.452495500001,35.6889344,True
78.076,step,0,1,3,SUMo,886.478,0.12132990459999927,-2290.7436454000012,23.918755700000002,True
78.076,step,0,1,4,LPo,1106.91,4.511387487000004,2099.3139370000017,3.0271864,True
89.224,restore,0,0,0,PGAgain,950.088,1.3881675815999988,-1023.9059684000007,66.83708920000001,True
89.224,restore,0,0,1,BPo,988.273,2.1486485861,-263.4249638999995,60.7628007,True
89.224,restore,0,0,2,OPA_SUMo,885.314,0.09814802979999877,-2313.925520200001,33.418544600000004,True
89.224,restore,0,0,3,SUMo,888.004,0.15172126280000156,-2260.3522872,29.236247600000002,True
89.224,restore,0,0,4,LPo,1106.891,4.511009088700004,2098.9355387000014,2.2703898,True
93.127,restore,0,0,0,PGAgain,950.183,1.3900595730999994,-1022.0139769000002,65.323496,True
93.127,restore,0,0,1,BPo,987.548,2.134209703600001,-277.8638464,52.0397241,True
93.127,restore,0,0,2,OPA_SUMo,888.156,0.15474844920000033,-2257.325100800001,28.8578493,True
93.127,restore,0,0,3,SUMo,890.502,0.2014706813999983,-2210.602868600001,27.344256100000003,True
93.127,restore,0,0,4,LPo,1106.872,4.510630690400001,2098.5571404000016,2.2703898,True
98.125,restore,0,0,0,PGAgain,950.298,1.392349878600002,-1019.7236714000001,55.066910500000006,True
98.125,restore,0,0,1,BPo,987.148,2.126243423600001,-285.83012639999953,40.62802800000001,True
98.125,restore,0,0,2,OPA_SUMo,890.941,0.21021367370000008,-2201.8598762999995,23.1619591,True
98.125,restore,0,0,3,SUMo,893.192,0.25504391440000107,-2157.0296356,22.026764200000002,True
98.125,restore,0,0,4,LPo,1106.91,4.511387487000004,2099.3139370000017,2.2703898,True
103.13,restore,0,0,0,PGAgain,950.202,1.3904379714000024,-1021.6355786000001,47.4790288,True
103.13,restore,0,0,1,BPo,986.709,2.117500431299999,-294.5731187000011,59.627605800000005,True
103.13,restore,0,0,2,OPA_SUMo,893.268,0.2565575076000023,-2155.5160423999996,26.5874595,True
103.13,restore,0,0,3,SUMo,895.805,0.30708363850000026,-2104.989911500001,29.236247600000002,True
103.13,restore,0,0,4,LPo,1106.891,4.511009088700004,2098.9355387000014,1.8919915,True
108.127,restore,0,0,0,PGAgain,950.336,1.3931066752000005,-1018.9668747999998,52.0397241,True
108.127,restore,0,0,1,BPo,986.404,2.1114261428000027,-300.6474072000001,44.431926700000005,True
108.127,restore,0,0,2,OPA_SUMo,895.328,0.2975838495999997,-2114.4897004000004,28.479451,True
108.127,restore,0,0,3,SUMo,897.56,0.3420356920000013,-2070.037858000001,20.891569300000004,True
108.127,restore,0,0,4,LPo,1106.891,4.511009088700004,2098.9355387000014,1.5135932,True
113.127,restore,0,0,0,PGAgain,950.088,1.3881675815999988,-1023.9059684000007,41.78313860000001,True
113.127,restore,0,0,1,BPo,986.289,2.1091358373,-302.93771270000025,56.2021054,True
113.127,restore,0,0,2,OPA_SUMo,896.987,0.3306239959000013,-2081.4495541000006,24.297154000000003,True
113.127,restore,0,0,3,SUMo,899.41,0.3788797369999993,-2033.1938130000008,25.8107472,True
113.127,restore,0,0,4,LPo,1106.891,4.511009088700004,2098.9355387000014,2.2703898,True
118.143,restore,0,0,0,PGAgain,950.145,1.3893027765000006,-1022.7707735000005,61.141199,True
118.143,restore,0,0,1,BPo,986.251,2.1083790407000014,-303.6945093000005,39.492833100000006,True
118.143,restore,0,0,2,OPA_SUMo,898.456,0.3598801592000018,-2052.1933907999996,26.2090612,True
118.143,restore,0,0,3,SUMo,900.421,0.39901450970000224,-2013.0590402999992,31.1481548,True
118.143,restore,0,0,4,LPo,1106.872,4.510630690400001,2098.5571404000016,2.2703898,True
123.125,restore,0,0,0,PGAgain,950.164,1.3896811748,-1022.3923752000003,42.1615369,True
123.125,restore,0,0,1,BPo,985.87,2.1007911590000004,-311.2823909999999,32.661748,True
123.125,restore,0,0,2,OPA_SUMo,899.982,0.39027151740000043,-2021.8020326000008,23.1619591,True
123.125,restore,0,0,3,SUMo,902.08,0.43205465600000026,-1980.0188939999994,17.087670600000003,True
123.125,restore,0,0,4,LPo,1106.872,4.510630690400001,2098.5571404000016,1.5135932,True
128.128,restore,0,0,0,PGAgain,950.183,1.3900595730999994,-1022.0139769000002,40.62802800000001,True
128.128,restore,0,0,1,BPo,986.08,2.1049734560000033,-307.1000939999992,37.6008416,True
128.128,restore,0,0,2,OPA_SUMo,900.783,0.40622399310000035,-2005.8495568999997,15.9524757,True
128.128,restore,0,0,3,SUMo,902.729,0.4449799453000014,-1967.0936046999993,17.087670600000003,True
128.128,restore,0,0,4,LPo,1106.929,4.511765885300003,2099.692335300002,1.8919915,True
133.126,restore,0,0,0,PGAgain,950.469,1.3957554633000036,-1016.3180866999991,31.9049514,True
133.126,restore,0,0,1,BPo,985.584,2.0950952687999997,-316.9782812000011,48.2358254,True
133.126,restore,0,0,2,OPA_SUMo,901.336,0.41723737520000215,-1994.8361747999998,15.5740774,True
133.126,restore,0,0,3,SUMo,903.511,0.46055402270000195,-1951.5195273000008,17.087670600000003,True
133.126,restore,0,0,4,LPo,1106.91,4.511387487000004,2099.3139370000017,2.2703898,True
138.128,restore,0,0,0,PGAgain,950.069,1.3877891832999993,-1024.2843667000009,32.2833497,True
138.128,restore,0,0,1,BPo,985.755,2.0985008535000014,-313.5726965000001,31.1481548,True
138.128,restore,0,0,2,OPA_SUMo,902.042,0.4312978594000015,-1980.7756905999995,17.087670600000003,True
138.128,restore,0,0,3,SUMo,904.216,0.47459459120000247,-1937.4789587999999,28.1010527,True
138.128,restore,0,0,4,LPo,1106.929,4.511765885300003,2099.692335300002,1.8919915,True
147.043,restore,0,0,0,PGAgain,950.069,1.3877891832999993,-1024.2843667000009,31.5265531,True
147.043,restore,0,0,1,BPo,985.679,2.0969872603,-315.0862897000005,35.31053610000001,True
147.043,restore,0,0,2,OPA_SUMo,902.919,0.44876392829999895,-1963.3096217000004,20.891569300000004,True
147.043,restore,0,0,3,SUMo,904.808,0.4863846856000018,-1925.6888644000003,29.236247600000002,True
