t_s,pasada,idac0,idac1,idac2,fase,posicion,asentamiento_incompleto,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
191.6,1,24,-255,128,malla,,False,4,LPo,875000.0,244.0,True,False,True,-2519.3360500000003
193.46,1,24,-255,255,malla,,False,0,PGAgain,1002255.0,293.0,True,True,True,15.03635349999991
193.82,1,24,-255,255,malla,,False,1,BPo,980549.0,252.0,True,True,True,-417.25383070000044
194.18,1,24,-255,255,malla,,False,2,OPA_SUMo,1128000.0,255.0,True,False,True,2519.3360500000003
194.54,1,24,-255,255,malla,,False,3,SUMo,1128000.0,243.0,True,False,True,2519.3360500000003
194.9,1,24,-255,255,malla,,False,4,LPo,875000.0,245.0,True,False,True,-2519.3360500000003
196.76,1,24,-255,-136,abba,A1,False,0,PGAgain,1002224.0,261.0,True,True,True,14.418966800000925
197.12,1,24,-255,-136,abba,A1,False,1,BPo,980494.0,269.0,True,True,True,-418.3491941999995
197.48,1,24,-255,-136,abba,A1,False,2,OPA_SUMo,994414.0,264.0,True,True,True,-141.12265020000027
197.84,1,24,-255,-136,abba,A1,False,3,SUMo,996482.0,266.0,True,True,True,-99.93698260000059
198.2,1,24,-255,-136,abba,A1,False,4,LPo,875001.0,293.0,True,False,True,-2519.3161343000006
200.06,1,24,-255,-120,abba,B1,False,0,PGAgain,1002248.0,265.0,True,True,True,14.896943600000943
200.42,1,24,-255,-120,abba,B1,False,1,BPo,980470.0,257.0,True,True,True,-418.82717099999945
200.78,1,24,-255,-120,abba,B1,False,2,OPA_SUMo,1006401.0,249.0,True,True,True,97.60684569999908
201.14,1,24,-255,-120,abba,B1,False,3,SUMo,1008383.0,261.0,True,True,True,137.07976310000078
201.5,1,24,-255,-120,abba,B1,False,4,LPo,875025.0,248.0,True,False,True,-2518.8381575000008
203.36,1,24,-255,-120,abba,B2,False,0,PGAgain,1002326.0,263.0,True,True,True,16.450368200000437
203.72,1,24,-255,-120,abba,B2,False,1,BPo,980459.0,254.0,True,True,True,-419.04624370000107
204.08,1,24,-255,-120,abba,B2,False,2,OPA_SUMo,1006294.0,252.0,True,True,True,95.47586579999967
204.44,1,24,-255,-120,abba,B2,False,3,SUMo,1008385.0,249.0,True,True,True,137.11959449999983
204.8,1,24,-255,-120,abba,B2,False,4,LPo,875000.0,274.0,True,False,True,-2519.3360500000003
206.66,1,24,-255,-136,abba,A2,False,0,PGAgain,1002359.0,272.0,True,True,True,17.107586300000744
207.02,1,24,-255,-136,abba,A2,False,1,BPo,980530.0,263.0,True,True,True,-417.63222900000056
207.38,1,24,-255,-136,abba,A2,False,2,OPA_SUMo,994427.0,246.0,True,True,True,-140.8637460999996
207.74,1,24,-255,-136,abba,A2,False,3,SUMo,996474.0,269.0,True,True,True,-100.09630819999909
208.1,1,24,-255,-136,abba,A2,False,4,LPo,875000.0,266.0,True,False,True,-2519.3360500000003
209.96,1,24,-255,-132,abba,A1,False,0,PGAgain,1002215.0,271.0,True,True,True,14.239725500000635
210.32,1,24,-255,-132,abba,A1,False,1,BPo,980548.0,259.0,True,True,True,-417.2737464
210.68,1,24,-255,-132,abba,A1,False,2,OPA_SUMo,997467.0,263.0,True,True,True,-80.32001810000031
211.04,1,24,-255,-132,abba,A1,False,3,SUMo,999448.0,260.0,True,True,True,-40.867016400000416
211.4,1,24,-255,-132,abba,A1,False,4,LPo,875040.0,253.0,True,False,True,-2518.5394220000007
213.26,1,24,-255,-124,abba,B1,False,0,PGAgain,1002249.0,242.0,True,True,True,14.916859300000471
213.62,1,24,-255,-124,abba,B1,False,1,BPo,980517.0,273.0,True,True,True,-417.89113309999897
213.98,1,24,-255,-124,abba,B1,False,2,OPA_SUMo,1003334.0,262.0,True,True,True,36.52539379999893
214.34,1,24,-255,-124,abba,B1,False,3,SUMo,1005409.0,256.0,True,True,True,77.85047129999984
214.7,1,24,-255,-124,abba,B1,False,4,LPo,875034.0,249.0,True,False,True,-2518.6589162000005
216.56,1,24,-255,-124,abba,B2,False,0,PGAgain,1002299.0,258.0,True,True,True,15.912644299999567
216.92,1,24,-255,-124,abba,B2,False,1,BPo,980513.0,258.0,True,True,True,-417.97079589999936
217.28,1,24,-255,-124,abba,B2,False,2,OPA_SUMo,1003346.0,262.0,True,True,True,36.76438220000007
217.64,1,24,-255,-124,abba,B2,False,3,SUMo,1005345.0,262.0,True,True,True,76.57586650000054
218.0,1,24,-255,-124,abba,B2,False,4,LPo,875039.0,253.0,True,False,True,-2518.5593377000005
219.86,1,24,-255,-132,abba,A2,False,0,PGAgain,1002263.0,253.0,True,True,True,15.195679100000671
220.22,1,24,-255,-132,abba,A2,False,1,BPo,980539.0,261.0,True,True,True,-417.4529877000003
220.58,1,24,-255,-132,abba,A2,False,2,OPA_SUMo,997435.0,259.0,True,True,True,-80.95732050000109
220.94,1,24,-255,-132,abba,A2,False,3,SUMo,999438.0,265.0,True,True,True,-41.06617340000024
221.3,1,24,-255,-132,abba,A2,False,4,LPo,875022.0,282.0,True,False,True,-2518.897904599999
223.16,1,24,-255,-130,abba,A1,False,0,PGAgain,1002272.0,271.0,True,True,True,15.374920400000962
223.52,1,24,-255,-130,abba,A1,False,1,BPo,980578.0,269.0,True,True,True,-416.6762754000005
223.88,1,24,-255,-130,abba,A1,False,2,OPA_SUMo,998943.0,252.0,True,True,True,-50.92444490000033
224.24,1,24,-255,-130,abba,A1,False,3,SUMo,1000864.0,260.0,True,True,True,-12.666385199999349
224.6,1,24,-255,-130,abba,A1,False,4,LPo,875006.0,263.0,True,False,True,-2519.2165558000006
226.46,1,24,-255,-126,abba,B1,False,0,PGAgain,1002294.0,247.0,True,True,True,15.813065799999658
226.82,1,24,-255,-126,abba,B1,False,1,BPo,980551.0,257.0,True,True,True,-417.21399929999916
227.18,1,24,-255,-126,abba,B1,False,2,OPA_SUMo,1001852.0,252.0,True,True,True,7.010326399999511
227.54,1,24,-255,-126,abba,B1,False,3,SUMo,1003846.0,266.0,True,True,True,46.72223220000007
227.9,1,24,-255,-126,abba,B1,False,4,LPo,875002.0,277.0,True,False,True,-2519.296218600001
229.76,1,24,-255,-126,abba,B2,False,0,PGAgain,1002305.0,260.0,True,True,True,16.032138499999004
230.12,1,24,-255,-126,abba,B2,False,1,BPo,980562.0,257.0,True,True,True,-416.9949265999998
230.48,1,24,-255,-126,abba,B2,False,2,OPA_SUMo,1001808.0,244.0,True,True,True,6.134035599999855
230.84,1,24,-255,-126,abba,B2,False,3,SUMo,1003846.0,259.0,True,True,True,46.72223220000007
231.2,1,24,-255,-126,abba,B2,False,4,LPo,875014.0,255.0,True,False,True,-2519.0572302
233.06,1,24,-255,-130,abba,A2,False,0,PGAgain,1002254.0,262.0,True,True,True,15.01643780000038
233.42,1,24,-255,-130,abba,A2,False,1,BPo,980503.0,264.0,True,True,True,-418.16995289999915
233.78,1,24,-255,-130,abba,A2,False,2,OPA_SUMo,998844.0,259.0,True,True,True,-52.896099199998986
234.14,1,24,-255,-130,abba,A2,False,3,SUMo,1000845.0,259.0,True,True,True,-13.044783499999458
234.5,1,24,-255,-130,abba,A2,False,4,LPo,875000.0,254.0,True,False,True,-2519.3360500000003
299.18,1,24,-192,0,referencia,,False,0,PGAgain,1002335.0,256.0,True,True,True,16.629609500000726
299.54,1,24,-192,0,referencia,,False,1,BPo,986164.0,274.0,True,True,True,-305.42717520000025
