t_s,bloque,repeticion,pgaout,orden,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref,codigos_idac
111.12,CONTROL,8,1,4-3-2-1-0,1,BPo,1003483.0,271.0,True,True,True,39.492833099998954,"[12, 0, 0, 0]"
111.48,CONTROL,8,1,4-3-2-1-0,0,PGAgain,1001519.0,267.0,True,True,True,0.3783983000001087,"[12, 0, 0, 0]"
111.84,CONTROL,9,1,0-1-2-3-4,0,PGAgain,1001550.0,267.0,True,True,True,0.9957849999990944,"[12, 0, 0, 0]"
112.2,CONTROL,9,1,0-1-2-3-4,1,BPo,1003408.0,268.0,True,True,True,37.99915560000031,"[12, 0, 0, 0]"
112.56,CONTROL,9,1,0-1-2-3-4,2,OPA_SUMo,1009283.0,255.0,True,True,True,155.0038931000003,"[12, 0, 0, 0]"
112.92,CONTROL,9,1,0-1-2-3-4,3,SUMo,1011337.0,269.0,True,True,True,195.91074089999978,"[12, 0, 0, 0]"
113.28,CONTROL,9,1,0-1-2-3-4,4,LPo,875018.0,281.0,True,False,True,-2518.9775673999998,"[12, 0, 0, 0]"
113.64,CONTROL,10,1,4-3-2-1-0,4,LPo,875012.0,243.0,True,False,True,-2519.0970616000013,"[12, 0, 0, 0]"
114.0,CONTROL,10,1,4-3-2-1-0,3,SUMo,1011280.0,254.0,True,True,True,194.77554599999948,"[12, 0, 0, 0]"
114.36,CONTROL,10,1,4-3-2-1-0,2,OPA_SUMo,1009319.0,280.0,True,True,True,155.7208582999992,"[12, 0, 0, 0]"
114.72,CONTROL,10,1,4-3-2-1-0,1,BPo,1003453.0,302.0,True,True,False,38.895362099999495,"[12, 0, 0, 0]"
115.08,CONTROL,10,1,4-3-2-1-0,0,PGAgain,1001507.0,260.0,True,True,True,0.13940989999896755,"[12, 0, 0, 0]"
115.44,CONTROL,11,1,0-1-2-3-4,0,PGAgain,1001518.0,280.0,True,True,True,0.35848260000057963,"[12, 0, 0, 0]"
115.8,CONTROL,11,1,0-1-2-3-4,1,BPo,1003458.0,242.0,True,True,True,38.9949405999994,"[12, 0, 0, 0]"
116.16,CONTROL,11,1,0-1-2-3-4,2,OPA_SUMo,1009354.0,275.0,True,True,True,156.41790780000085,"[12, 0, 0, 0]"
116.52,CONTROL,11,1,0-1-2-3-4,3,SUMo,1011271.0,262.0,True,True,True,194.59630469999917,"[12, 0, 0, 0]"
116.88,CONTROL,11,1,0-1-2-3-4,4,LPo,875000.0,266.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
117.24,CONTROL,12,1,4-3-2-1-0,4,LPo,875062.0,248.0,True,False,True,-2518.1012766,"[12, 0, 0, 0]"
117.6,CONTROL,12,1,4-3-2-1-0,3,SUMo,1011246.0,250.0,True,True,True,194.09841219999964,"[12, 0, 0, 0]"
117.96,CONTROL,12,1,4-3-2-1-0,2,OPA_SUMo,1009319.0,286.0,True,True,True,155.7208582999992,"[12, 0, 0, 0]"
118.32,CONTROL,12,1,4-3-2-1-0,1,BPo,1003459.0,256.0,True,True,True,39.01485629999893,"[12, 0, 0, 0]"
118.68,CONTROL,12,1,4-3-2-1-0,0,PGAgain,1001528.0,267.0,True,True,True,0.5576396000003985,"[12, 0, 0, 0]"
119.04,CONTROL,13,1,0-1-2-3-4,0,PGAgain,1001492.0,310.0,True,True,False,-0.15932560000076076,"[12, 0, 0, 0]"
119.4,CONTROL,13,1,0-1-2-3-4,1,BPo,1003454.0,271.0,True,True,True,38.915277799999025,"[12, 0, 0, 0]"
119.76,CONTROL,13,1,0-1-2-3-4,2,OPA_SUMo,1009308.0,250.0,True,True,True,155.50178559999986,"[12, 0, 0, 0]"
120.12,CONTROL,13,1,0-1-2-3-4,3,SUMo,1011300.0,250.0,True,True,True,195.1738599999991,"[12, 0, 0, 0]"
120.48,CONTROL,13,1,0-1-2-3-4,4,LPo,875000.0,264.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
120.84,CONTROL,14,1,4-3-2-1-0,4,LPo,875006.0,288.0,True,False,True,-2519.2165558000006,"[12, 0, 0, 0]"
121.2,CONTROL,14,1,4-3-2-1-0,3,SUMo,1011275.0,260.0,True,True,True,194.67596749999956,"[12, 0, 0, 0]"
121.56,CONTROL,14,1,4-3-2-1-0,2,OPA_SUMo,1009291.0,271.0,True,True,True,155.16321870000107,"[12, 0, 0, 0]"
121.92,CONTROL,14,1,4-3-2-1-0,1,BPo,1003417.0,279.0,True,True,True,38.1783969000006,"[12, 0, 0, 0]"
122.28,CONTROL,14,1,4-3-2-1-0,0,PGAgain,1001463.0,272.0,True,True,True,-0.7368809000006883,"[12, 0, 0, 0]"
122.64,CONTROL,15,1,0-1-2-3-4,0,PGAgain,1001547.0,249.0,True,True,True,0.9360379000005072,"[12, 0, 0, 0]"
123.0,CONTROL,15,1,0-1-2-3-4,1,BPo,1003569.0,263.0,True,True,True,41.205583299999205,"[12, 0, 0, 0]"
123.36,CONTROL,15,1,0-1-2-3-4,2,OPA_SUMo,1009309.0,271.0,True,True,True,155.5217012999994,"[12, 0, 0, 0]"
123.72,CONTROL,15,1,0-1-2-3-4,3,SUMo,1011294.0,264.0,True,True,True,195.05436579999966,"[12, 0, 0, 0]"
124.08,CONTROL,15,1,0-1-2-3-4,4,LPo,875034.0,277.0,True,False,True,-2518.6589162000005,"[12, 0, 0, 0]"
124.44,CONTROL,16,1,4-3-2-1-0,4,LPo,875000.0,280.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
124.8,CONTROL,16,1,4-3-2-1-0,3,SUMo,1011275.0,265.0,True,True,True,194.67596749999956,"[12, 0, 0, 0]"
125.16,CONTROL,16,1,4-3-2-1-0,2,OPA_SUMo,1009263.0,267.0,True,True,True,154.60557910000068,"[12, 0, 0, 0]"
125.52,CONTROL,16,1,4-3-2-1-0,1,BPo,1003507.0,260.0,True,True,True,39.97080989999897,"[12, 0, 0, 0]"
125.88,CONTROL,16,1,4-3-2-1-0,0,PGAgain,1001564.0,257.0,True,True,True,1.2746047999992935,"[12, 0, 0, 0]"
126.24,CONTROL,17,1,0-1-2-3-4,0,PGAgain,1001446.0,242.0,True,True,True,-1.0754477999994747,"[12, 0, 0, 0]"
