t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
187.44,1,12,-255,0,referencia,0,PGAgain,1001568.0,277.0,True,True,True,1.354267599999674
187.8,1,12,-255,0,referencia,1,BPo,980494.0,249.0,True,True,True,-418.3491941999995
188.16,1,12,-255,0,referencia,2,OPA_SUMo,1101019.0,278.0,True,True,True,1981.9905483000002
188.52,1,12,-255,0,referencia,3,SUMo,1102994.0,254.0,True,True,True,2021.3240557999984
188.88,1,12,-255,0,referencia,4,LPo,875084.0,288.0,True,False,True,-2517.6631312000013
190.74,1,12,-255,-255,malla,0,PGAgain,1001561.0,298.0,True,True,True,1.2148577000007066
191.1,1,12,-255,-255,malla,1,BPo,980533.0,314.0,True,True,False,-417.57248189999973
191.46,1,12,-255,-255,malla,2,OPA_SUMo,912021.0,267.0,True,True,True,-1782.036920300001
191.82,1,12,-255,-255,malla,3,SUMo,913996.0,259.0,True,True,True,-1742.7034128000005
192.18,1,12,-255,-255,malla,4,LPo,875031.0,255.0,True,False,True,-2518.718663300001
194.04,1,12,-255,-128,malla,0,PGAgain,1001437.0,250.0,True,True,True,-1.2546890999997646
194.4,1,12,-255,-128,malla,1,BPo,980516.0,273.0,True,True,True,-417.91104880000074
194.76,1,12,-255,-128,malla,2,OPA_SUMo,1006154.0,287.0,True,True,True,92.68766779999993
195.12,1,12,-255,-128,malla,3,SUMo,1008096.0,269.0,True,True,True,131.36395720000007
195.48,1,12,-255,-128,malla,4,LPo,875000.0,247.0,True,False,True,-2519.3360500000003
197.34,1,12,-255,-64,malla,0,PGAgain,1001576.0,258.0,True,True,True,1.5135932000004348
197.7,1,12,-255,-64,malla,1,BPo,980594.0,291.0,True,True,True,-416.357624199999
198.06,1,12,-255,-64,malla,2,OPA_SUMo,1053598.0,244.0,True,True,True,1037.5681385999992
198.42,1,12,-255,-64,malla,3,SUMo,1055586.0,280.0,True,True,True,1077.1605502000002
198.78,1,12,-255,-64,malla,4,LPo,875000.0,260.0,True,False,True,-2519.3360500000003
200.64,1,12,-255,0,malla,0,PGAgain,1001601.0,261.0,True,True,True,2.011485699999982
201.0,1,12,-255,0,malla,1,BPo,980608.0,269.0,True,True,True,-416.07880440000105
201.36,1,12,-255,0,malla,2,OPA_SUMo,1101001.0,256.0,True,True,True,1981.6320656999997
201.72,1,12,-255,0,malla,3,SUMo,1102993.0,264.0,True,True,True,2021.304140099999
202.08,1,12,-255,0,malla,4,LPo,875000.0,281.0,True,False,True,-2519.3360500000003
203.94,1,12,-255,64,malla,0,PGAgain,1001614.0,268.0,True,True,True,2.270389800000652
204.3,1,12,-255,64,malla,1,BPo,980533.0,260.0,True,True,True,-417.57248189999973
204.66,1,12,-255,64,malla,2,OPA_SUMo,1128000.0,289.0,True,False,True,2519.3360500000003
205.02,1,12,-255,64,malla,3,SUMo,1128000.0,281.0,True,False,True,2519.3360500000003
205.38,1,12,-255,64,malla,4,LPo,875000.0,275.0,True,False,True,-2519.3360500000003
207.24,1,12,-255,128,malla,0,PGAgain,1001526.0,252.0,True,True,True,0.5178081999990762
207.6,1,12,-255,128,malla,1,BPo,980553.0,244.0,True,True,True,-417.1741679000001
207.96,1,12,-255,128,malla,2,OPA_SUMo,1128000.0,275.0,True,False,True,2519.3360500000003
208.32,1,12,-255,128,malla,3,SUMo,1128000.0,280.0,True,False,True,2519.3360500000003
208.68,1,12,-255,128,malla,4,LPo,875000.0,276.0,True,False,True,-2519.3360500000003
210.54,1,12,-255,255,malla,0,PGAgain,1001518.0,257.0,True,True,True,0.35848260000057963
210.9,1,12,-255,255,malla,1,BPo,980583.0,246.0,True,True,True,-416.5766969000006
211.26,1,12,-255,255,malla,2,OPA_SUMo,1128000.0,263.0,True,False,True,2519.3360500000003
211.62,1,12,-255,255,malla,3,SUMo,1128000.0,271.0,True,False,True,2519.3360500000003
211.98,1,12,-255,255,malla,4,LPo,875000.0,267.0,True,False,True,-2519.3360500000003
213.84,1,12,-255,-136,fino,0,PGAgain,1001579.0,267.0,True,True,True,1.573340299999022
214.2,1,12,-255,-136,fino,1,BPo,980432.0,268.0,True,True,True,-419.5839675999997
214.56,1,12,-255,-136,fino,2,OPA_SUMo,1000163.0,255.0,True,True,True,-26.627290899999785
214.92,1,12,-255,-136,fino,3,SUMo,1002217.0,269.0,True,True,True,14.279556899999692
215.28,1,12,-255,-136,fino,4,LPo,875018.0,281.0,True,False,True,-2518.9775673999998
217.14,1,12,-255,-132,fino,0,PGAgain,1001567.0,243.0,True,True,True,1.334351900000145
217.5,1,12,-255,-132,fino,1,BPo,980503.0,254.0,True,True,True,-418.16995289999915
217.86,1,12,-255,-132,fino,2,OPA_SUMo,1003162.0,280.0,True,True,True,33.09989340000069
218.22,1,12,-255,-132,fino,3,SUMo,1005095.0,302.0,True,True,False,71.59694150000055
