t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
226.46,1,12,-255,-128,fino,1,BPo,980552.0,286.0,True,True,True,-417.1940835999996
226.82,1,12,-255,-128,fino,2,OPA_SUMo,1006051.0,256.0,True,True,True,90.63635070000089
227.18,1,12,-255,-128,fino,3,SUMo,1008092.0,267.0,True,True,True,131.2842943999997
227.54,1,12,-255,-128,fino,4,LPo,875000.0,310.0,True,False,False,-2519.3360500000003
229.4,1,12,-255,-126,fino,0,PGAgain,1001511.0,271.0,True,True,True,0.21907269999934795
229.76,1,12,-255,-126,fino,1,BPo,980546.0,250.0,True,True,True,-417.31357779999905
230.12,1,12,-255,-126,fino,2,OPA_SUMo,1007583.0,250.0,True,True,True,121.1472030999994
230.48,1,12,-255,-126,fino,3,SUMo,1009551.0,264.0,True,True,True,160.3413007000009
230.84,1,12,-255,-126,fino,4,LPo,875006.0,288.0,True,False,True,-2519.2165558000006
232.7,1,12,-255,-124,fino,0,PGAgain,1001551.0,260.0,True,True,True,1.0157007000008875
233.06,1,12,-255,-124,fino,1,BPo,980534.0,271.0,True,True,True,-417.5525662000002
233.42,1,12,-255,-124,fino,2,OPA_SUMo,1008962.0,279.0,True,True,True,148.6109533999998
233.78,1,12,-255,-124,fino,3,SUMo,1010980.0,272.0,True,True,True,188.80083600000037
234.14,1,12,-255,-124,fino,4,LPo,875018.0,249.0,True,False,True,-2518.9775673999998
236.0,1,12,-255,-120,fino,0,PGAgain,1001628.0,263.0,True,True,True,2.5492096000008515
236.36,1,12,-255,-120,fino,1,BPo,980556.0,271.0,True,True,True,-417.1144207999992
236.72,1,12,-255,-120,fino,2,OPA_SUMo,1012022.0,264.0,True,True,True,209.55299540000098
237.08,1,12,-255,-120,fino,3,SUMo,1014037.0,277.0,True,True,True,249.6831309000007
237.44,1,12,-255,-120,fino,4,LPo,875000.0,280.0,True,False,True,-2519.3360500000003
327.8,1,12,-192,0,referencia,0,PGAgain,1001574.0,265.0,True,True,True,1.4737617999991126
328.16,1,12,-192,0,referencia,1,BPo,986191.0,267.0,True,True,True,-304.8894512999994
328.52,1,12,-192,0,referencia,2,OPA_SUMo,1078138.0,260.0,True,True,True,1526.2994165999985
