sector,phi_deg,theta_deg,gamma_deg,rho_paso_mm,x_perfil_mm,y_perfil_mm,radio_perfil_mm,mu_deg
subida,15.500,-15.7627,178.7946,82.1696,-62.1863,2.9091,62.2543,2.853
subida,16.000,-15.7472,178.2999,82.2275,-62.2193,3.4984,62.3176,2.718
subida,16.500,-15.7311,177.8053,82.2872,-62.2488,4.0883,62.3829,2.583
subida,17.000,-15.7146,177.3109,82.3487,-62.2747,4.6787,62.4502,2.449
subida,17.500,-15.6975,176.8167,82.4121,-62.2970,5.2697,62.5194,2.316
subida,18.000,-15.6800,176.3227,82.4773,-62.3157,5.8612,62.5907,2.183
subida,18.500,-15.6620,175.8288,82.5444,-62.3308,6.4533,62.6640,2.051
subida,19.000,-15.6435,175.3351,82.6133,-62.3423,7.0459,62.7392,1.919
subida,19.500,-15.6244,174.8416,82.6840,-62.3502,7.6390,62.8164,1.789
subida,20.000,-15.6049,174.3482,82.7566,-62.3544,8.2327,62.8956,1.658
subida,20.500,-15.5849,173.8551,82.8310,-62.3551,8.8269,62.9767,1.529
